attempt	exit_code	classification	turns	failure_turn	raw_events	in_progress	terminal	activity_starts	activity_ends	model_audio_during_input	terminal_during_input	interruption_during_input	missing_ttfb	audio_bytes	run_dir	log
1	0	complete	30		2449	6	30	30	30	0	0	0	0	60283500	runs/aiwf_medium_context/20260805T054435_clever-chatter_51f9c9de	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-01.log
2	0	complete	30		2535	4	30	30	30	0	0	0	0	45709500	runs/aiwf_medium_context/20260805T055505_clever-chatter_005d3886	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-02.log
3	0	complete	30		2565	4	30	30	30	0	0	0	0	46043092	runs/aiwf_medium_context/20260805T060303_clever-chatter_77e43dc1	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-03.log
4	0	complete	30		2881	10	30	30	30	0	0	0	0	49856412	runs/aiwf_medium_context/20260805T061105_clever-chatter_26cd43e4	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-04.log
5	0	complete	30		2498	4	30	30	30	0	0	0	0	45204136	runs/aiwf_medium_context/20260805T061946_clever-chatter_a5e43436	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-05.log
6	0	complete	30		2712	7	30	30	30	0	0	0	0	48514884	runs/aiwf_medium_context/20260805T062739_clever-chatter_3fa14890	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-06.log
7	0	complete	30		2681	6	30	30	30	0	0	0	0	61672084	runs/aiwf_medium_context/20260805T063606_clever-chatter_7e9d6558	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-07.log
8	0	complete	30		2431	3	31	30	30	0	1	1	0	44657036	runs/aiwf_medium_context/20260805T064651_clever-chatter_6ed5e708	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-08.log
9	0	complete	30		2667	9	32	30	30	0	2	2	0	46924492	runs/aiwf_medium_context/20260805T065438_clever-chatter_54d9271d	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-09.log
10	0	complete	30		2630	7	31	30	30	0	1	1	0	46491324	runs/aiwf_medium_context/20260805T070249_clever-chatter_42eb2a60	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-10.log
11	0	complete	30		2599	7	30	30	30	0	0	0	0	45123784	runs/aiwf_medium_context/20260805T071055_clever-chatter_e648725a	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-11.log
12	0	complete	30		2599	6	30	30	30	0	0	0	0	45950200	runs/aiwf_medium_context/20260805T071847_clever-chatter_08094cbb	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-12.log
13	1	no_audio_timeout	12	12	1296	2	13	13	13	0	0	0	0	26821884	runs/aiwf_medium_context/20260805T072648_clever-chatter_d6c5f8d3	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-13.log
14	1	no_audio_timeout	4	4	427	0	5	5	5	0	0	0	0	14543612	runs/aiwf_medium_context/20260805T073144_clever-chatter_953e9d17	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-14.log
15	0	complete	30		2881	7	30	30	30	0	0	0	0	61193800	runs/aiwf_medium_context/20260805T073433_clever-chatter_02009ae3	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-15.log
16	0	complete	30		2854	8	31	30	30	0	0	0	0	64164960	runs/aiwf_medium_context/20260805T074512_clever-chatter_e1970b7f	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-16.log
17	1	no_audio_timeout	10	10	990	0	11	11	11	0	0	0	0	18323172	runs/aiwf_medium_context/20260805T075623_clever-chatter_379b752f	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-17.log
18	0	complete	30		2100	2	31	30	30	0	1	1	0	40978480	runs/aiwf_medium_context/20260805T075951_clever-chatter_2c4e2a00	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-18.log
19	1	no_audio_timeout	4	4	522	0	5	5	5	0	0	0	0	8555600	runs/aiwf_medium_context/20260805T080700_clever-chatter_fe18c6c7	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-19.log
20	1	no_audio_timeout	0	0	73	0	1	1	1	0	0	0	0	1263528	runs/aiwf_medium_context/20260805T080846_clever-chatter_a441a31a	docs/clever-chatter-comparison-2026-08-04/exact-boundary-n20-2026-08-05-v2/logs/attempt-20.log
