model	arm	run_dir	transcript_rows	end_session_turn	classification	judged	provenance	source
gpt54	nofiller	runs/aiwf_medium_context/20260718T204517_gpt-5.4_4304593b	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	nofiller	runs/aiwf_medium_context/20260718T204932_gpt-5.4_e005d4b2	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	nofiller	runs/aiwf_medium_context/20260718T205406_gpt-5.4_e436a409	34	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	nofiller	runs/aiwf_medium_context/20260718T205757_gpt-5.4_567846a3	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	nofiller	runs/aiwf_medium_context/20260718T210212_gpt-5.4_1f7590bb	34	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	nofiller	runs/aiwf_medium_context/20260718T210651_gpt-5.4_f0d8eac7	34	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	nofiller	runs/aiwf_medium_context/20260718T211118_gpt-5.4_b4ba1f5b	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	nofiller	runs/aiwf_medium_context/20260718T211600_gpt-5.4_7624b42c	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	nofiller	runs/aiwf_medium_context/20260718T221419_gpt-5.4_7f1a2cc8	32	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	nofiller	runs/aiwf_medium_context/20260718T221948_gpt-5.4_2dc2fbef	34	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	dots96	runs/aiwf_medium_context/20260718T204735_gpt-5.4_53a7cdf3	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
gpt54	dots96	runs/aiwf_medium_context/20260718T205129_gpt-5.4_d59039c5	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/gpt54_filler_manifest.tsv
