model	arm	source_kind	lane	slot	attempt	run_dir
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T204517_gpt-5.4_4304593b
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T204932_gpt-5.4_e005d4b2
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T205406_gpt-5.4_e436a409
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T205757_gpt-5.4_567846a3
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T210212_gpt-5.4_1f7590bb
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T210651_gpt-5.4_f0d8eac7
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T211118_gpt-5.4_b4ba1f5b
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T211600_gpt-5.4_7624b42c
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T221419_gpt-5.4_7f1a2cc8
gpt54	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T221948_gpt-5.4_2dc2fbef
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T204735_gpt-5.4_53a7cdf3
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T205129_gpt-5.4_d59039c5
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T205605_gpt-5.4_e2b9c6ba
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T210010_gpt-5.4_dc2804af
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T210455_gpt-5.4_878c6c80
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T210904_gpt-5.4_4e651c2d
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T211404_gpt-5.4_7d808aff
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T211829_gpt-5.4_31eb14d3
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T221716_gpt-5.4_9a830590
gpt54	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T222247_gpt-5.4_6bc13523
