slot	model	arm	stage
D35-01	qwen36_35b	dots96	1
D35-02	qwen36_35b	dots96	1
D35-03	qwen36_35b	dots96	1
D35-04	qwen36_35b	dots96	1
D35-05	qwen36_35b	dots96	1
D35-06	qwen36_35b	dots96	1
D35-07	qwen36_35b	dots96	2
D35-08	qwen36_35b	dots96	2
D35-09	qwen36_35b	dots96	2
D35-10	qwen36_35b	dots96	2
D35-11	qwen36_35b	dots96	3
D35-12	qwen36_35b	dots96	3
D35-13	qwen36_35b	dots96	3
D35-14	qwen36_35b	dots96	3
D35-15	qwen36_35b	dots96	3
D35-16	qwen36_35b	dots96	3
D35-17	qwen36_35b	dots96	3
D35-18	qwen36_35b	dots96	3
D35-19	qwen36_35b	dots96	3
D35-20	qwen36_35b	dots96	3
D35-21	qwen36_35b	dots96	3
D35-22	qwen36_35b	dots96	3
D35-23	qwen36_35b	dots96	3
D35-24	qwen36_35b	dots96	3
D35-25	qwen36_35b	dots96	3
D35-26	qwen36_35b	dots96	3
D35-27	qwen36_35b	dots96	3
D35-28	qwen36_35b	dots96	3
D35-29	qwen36_35b	dots96	3
D35-30	qwen36_35b	dots96	3
