pair	slot	arm	run_dir	classification	observed_turns	strict_passes	transcript_sha256	judgment_sha256	summary_sha256
1	G4D-01	dots96	runs/aiwf_medium_context/20260731T120004_google_gemma-4-26B-A4B-it_89e40303	strict_complete	30	24	9e584a563b0c75d82b41b0588de015b8168bdbec5f720ebbf0d469895a8b86c5	de878f2191f76b7186b610886bab92b391128f16cf5e811419f1f56e9bcd4732	7959d3b2130d5cfd1bd79c3760c590da70d7cfb46a477c65f75856f637da5625
1	G4D-02	nofiller	runs/aiwf_medium_context/20260731T120037_google_gemma-4-26B-A4B-it_df1f6419	strict_complete	30	24	d444479fed49d31f35e4fb967b60bec69a6682b98d10e246228337ac18572f2e	d4d05e070db2bab748a22b234539f04bfbe90b194b39871ad4601864d8ca2a35	832495ba898c00c0c903d5cf8fd7bea21f1f2d1679d3ae4696da87a9b4143f8f
2	G4D-03	dots96	runs/aiwf_medium_context/20260731T120109_google_gemma-4-26B-A4B-it_5fa51d3e	strict_complete	30	26	1594c9f7c343780acb4fae82e1d3d0618e1751d1ddae578907fafb13639cabc5	77ff864e3d9b13b5fa6b79eae561342eaad4c96e7839da96c6e6d6cc5aa8e8bf	d64466550a5363768985a1858151c5ef7dd5323815fe9738e06586e4028cb025
2	G4D-04	nofiller	runs/aiwf_medium_context/20260731T120140_google_gemma-4-26B-A4B-it_5ceeac15	strict_complete	30	24	b14fed36429af963c4f98777814424d4e5ef14c270c100e066d93c1d09085386	161aa98a5bde458a16d929b9d7c232c8de97da4c7bb188515fe4a9b5ba245afd	eb3f386f0ec096f9b0a92bac4b3bc3eb65600ecb8bb1eb8aa66448c66dec95ad
3	G4D-05	nofiller	runs/aiwf_medium_context/20260731T120209_google_gemma-4-26B-A4B-it_f574d465	strict_complete	30	24	9ee97742e42f7a9e82b04c3201b6f1615fa560dfba6c72bc73167ca6dc032960	2e8e2d3865bcf6dd0630844a4b2aa47dbbb18e256718187b229539cf96bd33f1	fda756596428e79581bf1cc31e846086bfe98a697a2f99a579a3e46d2df15eba
3	G4D-06	dots96	runs/aiwf_medium_context/20260731T120238_google_gemma-4-26B-A4B-it_275630cd	strict_complete	30	23	b62e6b818fca601bd53cd7f0a347df20d81b1f6242e109040f88192ede58ea8a	f707d948ca6db8885537c6bf285d7468b2fc3f66e52070dfbe01966375ebd964	46b8926f0f2668144bc4a17f55fe2e4e641c507240a5b181131d6c4940b94179
4	G4D-07	dots96	runs/aiwf_medium_context/20260731T120310_google_gemma-4-26B-A4B-it_6f12ed61	strict_complete	30	23	43f857663e3d22134b96dd0ec0362f0b20cec416c46bca19a12caa365917f6fe	2a22ec4532c2ba5609946cb9c7e8b7b91b5025665ea555d48059736432e15815	bf499aeb0ace44c26c7b96ca4fc5616b940327847db45a4e0e709614125367fd
4	G4D-08	nofiller	runs/aiwf_medium_context/20260731T120339_google_gemma-4-26B-A4B-it_17cf23f0	strict_complete	30	24	972e098d3d4ba05775a9357f8fbaf1385bc2eeb5dca1ec6fe1ca1dd65d0bab8f	565abde941df12e6a8bbf0c3419650be78239f30c0975394a7b361d12e2f18d6	178982a572c67b645f75ca4f7089f685c06ffbc5c06bb3f11870ecdaf0a40fc3
5	G4D-09	dots96	runs/aiwf_medium_context/20260731T120408_google_gemma-4-26B-A4B-it_0faf94d3	strict_complete	30	25	c77627a05c2b876f748af1f03a39d95539244fae710d906aa279a853fd0fe6a8	cbe9c7b74100c713f149fbf7e3d977ba3f5561ac9994ec4aa479a0cde4c6414c	736cf35adc8013846608ee5ac9af6b0c438fc4fad466199fc48dc2e568c5faca
5	G4D-10	nofiller	runs/aiwf_medium_context/20260731T120437_google_gemma-4-26B-A4B-it_3b88411d	strict_complete	30	24	80478a2b55f9b3ef241bba60c4e6013e9fa508c082dc9cee2ddd22fa68db0589	d36e1f6b19fbcc3f8311ccedd1011059775e574c0cbfbdc2b99ef37c2a6d24f1	570771da5b0b9f7b5adbea16a86dd0c28bef2df78bf7584a2840661b1beb72c6
