slot	pair	arm	run_dir	transcript_sha256	scheduled_turns
G4D-01	1	dots96	runs/aiwf_medium_context/20260731T120004_google_gemma-4-26B-A4B-it_89e40303	9e584a563b0c75d82b41b0588de015b8168bdbec5f720ebbf0d469895a8b86c5	30
G4D-02	1	nofiller	runs/aiwf_medium_context/20260731T120037_google_gemma-4-26B-A4B-it_df1f6419	d444479fed49d31f35e4fb967b60bec69a6682b98d10e246228337ac18572f2e	30
G4D-03	2	dots96	runs/aiwf_medium_context/20260731T120109_google_gemma-4-26B-A4B-it_5fa51d3e	1594c9f7c343780acb4fae82e1d3d0618e1751d1ddae578907fafb13639cabc5	30
G4D-04	2	nofiller	runs/aiwf_medium_context/20260731T120140_google_gemma-4-26B-A4B-it_5ceeac15	b14fed36429af963c4f98777814424d4e5ef14c270c100e066d93c1d09085386	30
G4D-05	3	nofiller	runs/aiwf_medium_context/20260731T120209_google_gemma-4-26B-A4B-it_f574d465	9ee97742e42f7a9e82b04c3201b6f1615fa560dfba6c72bc73167ca6dc032960	30
G4D-06	3	dots96	runs/aiwf_medium_context/20260731T120238_google_gemma-4-26B-A4B-it_275630cd	b62e6b818fca601bd53cd7f0a347df20d81b1f6242e109040f88192ede58ea8a	30
G4D-07	4	dots96	runs/aiwf_medium_context/20260731T120310_google_gemma-4-26B-A4B-it_6f12ed61	43f857663e3d22134b96dd0ec0362f0b20cec416c46bca19a12caa365917f6fe	30
G4D-08	4	nofiller	runs/aiwf_medium_context/20260731T120339_google_gemma-4-26B-A4B-it_17cf23f0	972e098d3d4ba05775a9357f8fbaf1385bc2eeb5dca1ec6fe1ca1dd65d0bab8f	30
G4D-09	5	dots96	runs/aiwf_medium_context/20260731T120408_google_gemma-4-26B-A4B-it_0faf94d3	c77627a05c2b876f748af1f03a39d95539244fae710d906aa279a853fd0fe6a8	30
G4D-10	5	nofiller	runs/aiwf_medium_context/20260731T120437_google_gemma-4-26B-A4B-it_3b88411d	80478a2b55f9b3ef241bba60c4e6013e9fa508c082dc9cee2ddd22fa68db0589	30
G4D-11	6	nofiller	runs/aiwf_medium_context/20260731T120506_google_gemma-4-26B-A4B-it_bbdf05c5	10b74c8981230fbadbf9c81f0e1f37b3c4c5207a0260c00ca783035633428cf3	24
G4D-12	6	dots96	runs/aiwf_medium_context/20260731T120642_google_gemma-4-26B-A4B-it_350445ca	079aae94b38b757da50369a9766e10cc7b089cb45c61203609936ead1882cd02	30
G4D-13	7	nofiller	runs/aiwf_medium_context/20260731T120712_google_gemma-4-26B-A4B-it_ec436797	929a44665ff2dd8ed78ed8f43c1c73205793e1defc7225917a2f98cf9e53dc24	30
G4D-14	7	dots96	runs/aiwf_medium_context/20260731T120740_google_gemma-4-26B-A4B-it_37bb5b6a	e7ac07c0ad08f27ae1938952fd7ddeadff805e6f5bab036974a2317952a6069b	30
G4D-15	8	nofiller	runs/aiwf_medium_context/20260731T120811_google_gemma-4-26B-A4B-it_0c27030f	3188806e8f6b9349de926c6942c73d25b1c9422a3454b2b0765e44474e445fdd	30
G4D-16	8	dots96	runs/aiwf_medium_context/20260731T120840_google_gemma-4-26B-A4B-it_755ce6fd	ffe8101bd3a520dcb51b50a5570748f164fd692a90d2becfbb51c9fc9de2a949	30
G4D-17	9	dots96	runs/aiwf_medium_context/20260731T120911_google_gemma-4-26B-A4B-it_882c02ef	0b10cdc5550069a00656bb4ed6306a4e31dc23fbc92f6533daffd26448d99478	30
G4D-18	9	nofiller	runs/aiwf_medium_context/20260731T120940_google_gemma-4-26B-A4B-it_008911fc	3e56f5f4625a4354ef29c4892e8b192f85d1a32d20a1caac93ee7b01d36d3cbb	30
G4D-19	10	nofiller	runs/aiwf_medium_context/20260731T121009_google_gemma-4-26B-A4B-it_9118e514	6943dea964b479ab5e2d04234d2147b22df3a0c5b99245df154b7ad77ef69ded	30
G4D-20	10	dots96	runs/aiwf_medium_context/20260731T121038_google_gemma-4-26B-A4B-it_6d468433	d7d944b161e957343ecbf849d6ffaee0ab9f6bfd4fde92e4f6ca58f10ead79ce	30
