timestamp	event	requested_min	requested_max	status	active_replicas	detail
2026-07-31T18:54:35+00:00	SCALE_UP_REQUEST	1	1			
2026-07-31T18:54:36+00:00	SCALE_UP_ACCEPTED	1	1			
2026-07-31T19:00:02+00:00	DEPLOYMENT_ACTIVE			ACTIVE	1	poll_attempt=63
2026-07-31T19:11:06+00:00	TEARDOWN_REQUEST	0	1			
2026-07-31T19:11:06+00:00	TEARDOWN_ACCEPTED	0	1			
2026-07-31T19:14:09+00:00	DEPLOYMENT_SCALED_TO_ZERO			SCALED_TO_ZERO	0	poll_attempt=35
2026-08-04T01:07:14+00:00	SCALE_UP_REQUEST	1	1			
2026-08-04T01:07:15+00:00	SCALE_UP_ACCEPTED	1	1			
2026-08-04T01:13:21+00:00	DEPLOYMENT_ACTIVE			ACTIVE	1	poll_attempt=70
2026-08-04T01:39:10+00:00	TEARDOWN_REQUEST	0	1			
2026-08-04T01:39:11+00:00	TEARDOWN_ACCEPTED	0	1			
2026-08-04T01:42:14+00:00	DEPLOYMENT_SCALED_TO_ZERO			SCALED_TO_ZERO	0	poll_attempt=36
