slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
1	none	1	2026-08-07T10:05:00+00:00	2026-08-07T10:05:41+00:00	unknown	runs/aiwf_medium_context/20260807T100500Z_google_gemma-4-31B-it_none_slot001_attempt01_b04f25db	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot001-none-attempt01.log
2	none	1	2026-08-07T10:05:41+00:00	2026-08-07T10:06:20+00:00	unknown	runs/aiwf_medium_context/20260807T100541Z_google_gemma-4-31B-it_none_slot002_attempt01_1641e81f	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot002-none-attempt01.log
3	none	1	2026-08-07T10:06:20+00:00	2026-08-07T10:07:22+00:00	unknown	runs/aiwf_medium_context/20260807T100620Z_google_gemma-4-31B-it_none_slot003_attempt01_c1307b65	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot003-none-attempt01.log
4	none	1	2026-08-07T10:07:22+00:00	2026-08-07T10:08:03+00:00	unknown	runs/aiwf_medium_context/20260807T100722Z_google_gemma-4-31B-it_none_slot004_attempt01_252bbe7e	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot004-none-attempt01.log
5	none	1	2026-08-07T10:08:03+00:00	2026-08-07T10:08:41+00:00	unknown	runs/aiwf_medium_context/20260807T100803Z_google_gemma-4-31B-it_none_slot005_attempt01_d29751b3	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot005-none-attempt01.log
6	none	1	2026-08-07T10:08:41+00:00	2026-08-07T10:09:34+00:00	unknown	runs/aiwf_medium_context/20260807T100841Z_google_gemma-4-31B-it_none_slot006_attempt01_bf004335	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot006-none-attempt01.log
7	none	1	2026-08-07T10:09:34+00:00	2026-08-07T10:10:19+00:00	unknown	runs/aiwf_medium_context/20260807T100934Z_google_gemma-4-31B-it_none_slot007_attempt01_d8c04745	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot007-none-attempt01.log
8	none	1	2026-08-07T10:10:19+00:00	2026-08-07T10:11:04+00:00	unknown	runs/aiwf_medium_context/20260807T101019Z_google_gemma-4-31B-it_none_slot008_attempt01_5e92b1c7	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot008-none-attempt01.log
9	none	1	2026-08-07T10:11:05+00:00	2026-08-07T10:11:50+00:00	unknown	runs/aiwf_medium_context/20260807T101105Z_google_gemma-4-31B-it_none_slot009_attempt01_45ae3f4f	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot009-none-attempt01.log
10	none	1	2026-08-07T10:11:50+00:00	2026-08-07T10:13:10+00:00	unknown	runs/aiwf_medium_context/20260807T101150Z_google_gemma-4-31B-it_none_slot010_attempt01_ce50ef83	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot010-none-attempt01.log
11	none	1	2026-08-07T10:13:10+00:00	2026-08-07T10:14:05+00:00	unknown	runs/aiwf_medium_context/20260807T101310Z_google_gemma-4-31B-it_none_slot011_attempt01_2e9ae416	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot011-none-attempt01.log
12	none	1	2026-08-07T10:14:05+00:00	2026-08-07T10:15:03+00:00	unknown	runs/aiwf_medium_context/20260807T101405Z_google_gemma-4-31B-it_none_slot012_attempt01_8b031150	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n120-extension-20260807/logs/slot012-none-attempt01.log
