pooled_slot	cohort	cohort_slot	run_dir	classification	observed_turns	transcript_sha256	judgment_sha256	summary_sha256
1	original_n30	1	runs/aiwf_medium_context/20260806T223429Z_google_gemma-4-31B-it_none_slot001_attempt01_943e4a70	complete_30	30	0337c43b9285ca1ed65170fa004905c35ae7e5c08d278c3ae58045cd8725e9bf	d72b45ad6af5eac2aa1b31a1d390947a0e9f8348be9869be2837bc3199569e6f	376eb39b0bacfa68bd6eed3fd62250c3f0ce642c9a5985bad7b60c0625fcea72
2	original_n30	2	runs/aiwf_medium_context/20260806T223508Z_google_gemma-4-31B-it_none_slot002_attempt01_3763914a	complete_30	30	e12b95522fd0305ceefb0e6cb9d227357ca3db10c61bb1df2933307d03fce9d1	ec85cf1ea77b8a406869fd8f82e99ee064780174dca52880e0003074b21f21ec	ee8c1e8d34e346b846ca92f1e078e53e0bf2cdd0d1554f5046610b204850e296
3	original_n30	3	runs/aiwf_medium_context/20260806T223545Z_google_gemma-4-31B-it_none_slot003_attempt01_9c36d220	complete_30	30	edae8f2fc5b26500d1f5a05fd08457104ce6ee0e5f2840cf140797ed69e29939	7e887e47e32a67300cd32defd69d25460438a80c61c2ca72e30345c5af9bbe40	cbf0895777c821bdbb33484668594647bd034278e00fcea034e12867bcd28bc0
4	original_n30	4	runs/aiwf_medium_context/20260806T223622Z_google_gemma-4-31B-it_none_slot004_attempt01_21c5a12d	complete_30	30	049b2e94c615d25e8aace959e184e32b7c71779c2a999dd84d9dd0cca7497ebe	75930d255c0bae7d3b50fbcf534c61b66536fa7fb250a67b45b42666728091ae	b30f55d4cdbdb232f6abc6be4ab9a4f144a04c2327a7667f55a04159a262e77d
5	original_n30	5	runs/aiwf_medium_context/20260806T223659Z_google_gemma-4-31B-it_none_slot005_attempt01_8256ce2a	complete_30	30	21a894c84e7d5394d6b705b51f0592fe9b6371e25b2d1c8aaa83645e577337f9	d6a8674da43e85a559933e9fc45b354c8e1d11ecd471e1882370e9be3eabf425	970e35c51a561453b161056f6db87b99edbb3f08856d455288225f6a85dc103c
6	original_n30	6	runs/aiwf_medium_context/20260806T223734Z_google_gemma-4-31B-it_none_slot006_attempt01_9bec04b5	complete_30	30	bfe10badf347c10b86053f2b04ff99934dc4353670ea8000473f4d7e6a29a859	30d85dffdc6987a2bdd6c6e428b4516c7404437dd9fa82707536b9f1f6d38533	b475c6f31bcf4ef69f2061991a9577a6f3aa7f74b2b7c54c02bf92f879dd92ab
7	original_n30	7	runs/aiwf_medium_context/20260806T223809Z_google_gemma-4-31B-it_none_slot007_attempt01_11a5cf91	complete_30	30	0a3e33e73456cd96a8da8a3eeea51d9b68ece3efdb38b4bac34333b9e35a9e8a	8a2e27e4ed62590ca6ea866469182efed7f30074e06f31b73944e48144a38c8e	d666753064375acf89b6ce2cdbe1614e7073300c95fa141b6d252feaa02c9675
8	original_n30	8	runs/aiwf_medium_context/20260806T223845Z_google_gemma-4-31B-it_none_slot008_attempt01_19e39408	complete_30	30	4729201d2c1cb4fa23bff00f66ee82a622dcdbb3b95708bbd3e386d4504c00a7	f9f3f3f01474e80df62b5ae3084552809e5de7db5c979d96d3ac98f78c5f9348	a9a4eb09b2bde79a2aa6678440dfc03af8afb08ca222201aacbd2ff0fd60e41e
9	original_n30	9	runs/aiwf_medium_context/20260806T223923Z_google_gemma-4-31B-it_none_slot009_attempt01_5d2978df	complete_30	30	06e7a6cc6162d428f630c10bb1ecc7e1d49ddb96ffacf6b5912069b4789afc18	eebf8c86f49e58d86095dc5ae0cccb8b0f7f0e36d2aa07d4d49cde844a6081b7	5b53a67508f3f86e2e3c8d1188a727dca58c0974eee583bd0c1af8e821aa726a
10	original_n30	10	runs/aiwf_medium_context/20260806T223958Z_google_gemma-4-31B-it_none_slot010_attempt01_580dc03f	complete_30	30	bf8821e24b15f84a137be2722040caf53d9124c9d8380236ef9785c960841f66	5c732ff12baddfe1e594bdac7ee89fa01f5c31eeb888806f8ed25dcf75a10885	7ccd50d9a32957d9745f7f115cddf8f2b4033252e91897385e8f51a8f412d0e6
11	original_n30	11	runs/aiwf_medium_context/20260806T224035Z_google_gemma-4-31B-it_none_slot011_attempt01_d2cd8e81	complete_30	30	c33dfb809a668c4ec54cc51b134a1d1e21c8d736f6d9cc9a57d85c7fa0e9f277	7ded618e92bcdc4461368ab69cb4ec593521519f2198000d1e4c69e21934bc0d	6d0a549f12ba92876b3bd2704f85b55531ac9fb8c9ed2c2bb0fef7c9231943d8
12	original_n30	12	runs/aiwf_medium_context/20260806T224112Z_google_gemma-4-31B-it_none_slot012_attempt01_c42c5d75	complete_30	30	0ada92cba6349db53037f2cd572ca3025569617c707599264f0f54eafaf193b3	b2f262af6b74535b2ab94b267a1197f0f69a5249381ee6d131f56925ff69fef4	3fa6272621f1f90bae304cd6432ebffa232be104f1766273143f9ec6a4ae41b4
13	original_n30	13	runs/aiwf_medium_context/20260806T224149Z_google_gemma-4-31B-it_none_slot013_attempt01_9c087756	complete_30	30	3882a3d1d16b07cac3847297f184576c7ea8064c55eaa8a46b9633bca7abc426	8b8518691d7b2c92723644b587222ef802bb938696b4bafa5a83f2d093f377a5	53a67c7b198c53dc03815324fad18dbdc1775dec67913570368fb9aebde22596
