slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
1	none	1	2026-08-06T22:34:29+00:00	2026-08-06T22:35:08+00:00	unknown	runs/aiwf_medium_context/20260806T223429Z_google_gemma-4-31B-it_none_slot001_attempt01_943e4a70	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot001-none-attempt01.log
2	none	1	2026-08-06T22:35:08+00:00	2026-08-06T22:35:45+00:00	unknown	runs/aiwf_medium_context/20260806T223508Z_google_gemma-4-31B-it_none_slot002_attempt01_3763914a	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot002-none-attempt01.log
3	none	1	2026-08-06T22:35:45+00:00	2026-08-06T22:36:22+00:00	unknown	runs/aiwf_medium_context/20260806T223545Z_google_gemma-4-31B-it_none_slot003_attempt01_9c36d220	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot003-none-attempt01.log
4	none	1	2026-08-06T22:36:22+00:00	2026-08-06T22:36:59+00:00	unknown	runs/aiwf_medium_context/20260806T223622Z_google_gemma-4-31B-it_none_slot004_attempt01_21c5a12d	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot004-none-attempt01.log
5	none	1	2026-08-06T22:36:59+00:00	2026-08-06T22:37:34+00:00	unknown	runs/aiwf_medium_context/20260806T223659Z_google_gemma-4-31B-it_none_slot005_attempt01_8256ce2a	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot005-none-attempt01.log
6	none	1	2026-08-06T22:37:34+00:00	2026-08-06T22:38:09+00:00	unknown	runs/aiwf_medium_context/20260806T223734Z_google_gemma-4-31B-it_none_slot006_attempt01_9bec04b5	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot006-none-attempt01.log
7	none	1	2026-08-06T22:38:09+00:00	2026-08-06T22:38:45+00:00	unknown	runs/aiwf_medium_context/20260806T223809Z_google_gemma-4-31B-it_none_slot007_attempt01_11a5cf91	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot007-none-attempt01.log
8	none	1	2026-08-06T22:38:45+00:00	2026-08-06T22:39:22+00:00	unknown	runs/aiwf_medium_context/20260806T223845Z_google_gemma-4-31B-it_none_slot008_attempt01_19e39408	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot008-none-attempt01.log
9	none	1	2026-08-06T22:39:23+00:00	2026-08-06T22:39:58+00:00	unknown	runs/aiwf_medium_context/20260806T223923Z_google_gemma-4-31B-it_none_slot009_attempt01_5d2978df	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot009-none-attempt01.log
10	none	1	2026-08-06T22:39:58+00:00	2026-08-06T22:40:35+00:00	unknown	runs/aiwf_medium_context/20260806T223958Z_google_gemma-4-31B-it_none_slot010_attempt01_580dc03f	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot010-none-attempt01.log
11	none	1	2026-08-06T22:40:35+00:00	2026-08-06T22:41:12+00:00	unknown	runs/aiwf_medium_context/20260806T224035Z_google_gemma-4-31B-it_none_slot011_attempt01_d2cd8e81	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot011-none-attempt01.log
12	none	1	2026-08-06T22:41:12+00:00	2026-08-06T22:41:49+00:00	unknown	runs/aiwf_medium_context/20260806T224112Z_google_gemma-4-31B-it_none_slot012_attempt01_c42c5d75	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot012-none-attempt01.log
13	none	1	2026-08-06T22:41:49+00:00	2026-08-06T22:42:25+00:00	unknown	runs/aiwf_medium_context/20260806T224149Z_google_gemma-4-31B-it_none_slot013_attempt01_9c087756	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot013-none-attempt01.log
14	none	1	2026-08-06T22:42:25+00:00	2026-08-06T22:43:01+00:00	unknown	runs/aiwf_medium_context/20260806T224225Z_google_gemma-4-31B-it_none_slot014_attempt01_ef7c6994	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot014-none-attempt01.log
15	none	1	2026-08-06T22:43:01+00:00	2026-08-06T22:43:36+00:00	unknown	runs/aiwf_medium_context/20260806T224301Z_google_gemma-4-31B-it_none_slot015_attempt01_ad4d5766	30	complete_30	ops/baseten-gemma4-31b-sglang/aiewf-medium-mtp-n30-20260806/logs/slot015-none-attempt01.log
