slot	stage_cap	arm	attempt	started_at	finished_at	exit_code	run_dir	scheduled_rows	response_turns	end_session_turn	classification	log
DOT-01	6	dots96	1	2026-07-31T18:44:27+00:00	2026-07-31T18:44:54+00:00	0	runs/aiwf_medium_context/20260731T114430_thinkingmachines_inkling-small_c2e359e3	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-01-attempt-1.log
DOT-02	6	dots96	1	2026-07-31T18:44:54+00:00	2026-07-31T18:45:24+00:00	0	runs/aiwf_medium_context/20260731T114503_thinkingmachines_inkling-small_6f4dea40	29	29	28	model_abort	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-02-attempt-1.log
DOT-03	6	dots96	1	2026-07-31T18:45:24+00:00	2026-07-31T18:46:37+00:00	0	runs/aiwf_medium_context/20260731T114527_thinkingmachines_inkling-small_7bba2dd5	28	28	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-03-attempt-1.log
DOT-04	6	dots96	1	2026-07-31T18:46:37+00:00	2026-07-31T18:47:01+00:00	0	runs/aiwf_medium_context/20260731T114639_thinkingmachines_inkling-small_bf4b060e	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-04-attempt-1.log
DOT-05	6	dots96	1	2026-07-31T18:47:01+00:00	2026-07-31T18:48:11+00:00	0	runs/aiwf_medium_context/20260731T114702_thinkingmachines_inkling-small_623ffa02	25	25	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-05-attempt-1.log
DOT-06	6	dots96	1	2026-07-31T18:48:11+00:00	2026-07-31T18:48:34+00:00	0	runs/aiwf_medium_context/20260731T114815_thinkingmachines_inkling-small_70cfb62e	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-06-attempt-1.log
DOT-07	10	dots96	1	2026-08-03T21:23:10+00:00	2026-08-03T21:23:42+00:00	0	runs/aiwf_medium_context/20260803T142311_thinkingmachines_inkling-small_38973ca0	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-07-attempt-1.log
DOT-08	10	dots96	1	2026-08-03T21:23:42+00:00	2026-08-03T21:24:03+00:00	0	runs/aiwf_medium_context/20260803T142344_thinkingmachines_inkling-small_a4958212	29	29	28	model_abort	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-08-attempt-1.log
DOT-09	10	dots96	1	2026-08-03T21:24:03+00:00	2026-08-03T21:24:15+00:00	0	runs/aiwf_medium_context/20260803T142405_thinkingmachines_inkling-small_e14caaa8	16	16	15	model_abort	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-09-attempt-1.log
DOT-10	10	dots96	1	2026-08-03T21:24:15+00:00	2026-08-03T21:25:14+00:00	0	runs/aiwf_medium_context/20260803T142417_thinkingmachines_inkling-small_b5c19274	11	11	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-10-attempt-1.log
DOT-11	30	dots96	1	2026-08-03T21:30:25+00:00	2026-08-03T21:30:45+00:00	0	runs/aiwf_medium_context/20260803T143026_thinkingmachines_inkling-small_ba7093de	29	29	28	model_abort	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-11-attempt-1.log
DOT-12	30	dots96	1	2026-08-03T21:30:45+00:00	2026-08-03T21:31:07+00:00	0	runs/aiwf_medium_context/20260803T143046_thinkingmachines_inkling-small_f8696766	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-12-attempt-1.log
DOT-13	30	dots96	1	2026-08-03T21:31:07+00:00	2026-08-03T21:32:13+00:00	0	runs/aiwf_medium_context/20260803T143109_thinkingmachines_inkling-small_4413a3e2	19	19	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-13-attempt-1.log
DOT-14	30	dots96	1	2026-08-03T21:32:13+00:00	2026-08-03T21:32:33+00:00	0	runs/aiwf_medium_context/20260803T143214_thinkingmachines_inkling-small_a786369f	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-dots-adaptive-20260731/logs/DOT-14-attempt-1.log
