slot	stage_cap	arm	attempt	run_dir	scheduled_rows	response_turns	end_session_turn	classification
DOT-01	6	dots96	1	runs/aiwf_medium_context/20260731T114430_thinkingmachines_inkling-small_c2e359e3	30	30	29	strict_complete
DOT-02	6	dots96	1	runs/aiwf_medium_context/20260731T114503_thinkingmachines_inkling-small_6f4dea40	29	29	28	model_abort
DOT-03	6	dots96	1	runs/aiwf_medium_context/20260731T114527_thinkingmachines_inkling-small_7bba2dd5	28	28	-1	incomplete_no_end_session
DOT-04	6	dots96	1	runs/aiwf_medium_context/20260731T114639_thinkingmachines_inkling-small_bf4b060e	30	30	29	strict_complete
DOT-05	6	dots96	1	runs/aiwf_medium_context/20260731T114702_thinkingmachines_inkling-small_623ffa02	25	25	-1	incomplete_no_end_session
DOT-06	6	dots96	1	runs/aiwf_medium_context/20260731T114815_thinkingmachines_inkling-small_70cfb62e	30	30	29	strict_complete
DOT-07	10	dots96	1	runs/aiwf_medium_context/20260803T142311_thinkingmachines_inkling-small_38973ca0	30	30	29	strict_complete
DOT-08	10	dots96	1	runs/aiwf_medium_context/20260803T142344_thinkingmachines_inkling-small_a4958212	29	29	28	model_abort
DOT-09	10	dots96	1	runs/aiwf_medium_context/20260803T142405_thinkingmachines_inkling-small_e14caaa8	16	16	15	model_abort
DOT-10	10	dots96	1	runs/aiwf_medium_context/20260803T142417_thinkingmachines_inkling-small_b5c19274	11	11	-1	incomplete_no_end_session
DOT-11	30	dots96	1	runs/aiwf_medium_context/20260803T143026_thinkingmachines_inkling-small_ba7093de	29	29	28	model_abort
DOT-12	30	dots96	1	runs/aiwf_medium_context/20260803T143046_thinkingmachines_inkling-small_f8696766	30	30	29	strict_complete
DOT-13	30	dots96	1	runs/aiwf_medium_context/20260803T143109_thinkingmachines_inkling-small_4413a3e2	19	19	-1	incomplete_no_end_session
DOT-14	30	dots96	1	runs/aiwf_medium_context/20260803T143214_thinkingmachines_inkling-small_a786369f	30	30	29	strict_complete
DOT-15	30	dots96	1	runs/aiwf_medium_context/20260803T143235_thinkingmachines_inkling-small_64af5305	23	23	-1	incomplete_no_end_session
DOT-16	30	dots96	1	runs/aiwf_medium_context/20260803T143344_thinkingmachines_inkling-small_8f5528a0	29	29	28	model_abort
DOT-17	30	dots96	1	runs/aiwf_medium_context/20260803T143407_thinkingmachines_inkling-small_a9aaa7d2	29	29	-1	incomplete_no_end_session
DOT-18	30	dots96	1	runs/aiwf_medium_context/20260803T143519_thinkingmachines_inkling-small_0baa6b00	29	29	28	model_abort
DOT-19	30	dots96	1	runs/aiwf_medium_context/20260803T143537_thinkingmachines_inkling-small_7da0b4f3	21	21	-1	incomplete_no_end_session
DOT-20	30	dots96	1	runs/aiwf_medium_context/20260803T143643_thinkingmachines_inkling-small_e4d8ee70	30	30	29	strict_complete
DOT-21	30	dots96	1	runs/aiwf_medium_context/20260803T143703_thinkingmachines_inkling-small_c5d75982	23	23	-1	incomplete_no_end_session
DOT-22	30	dots96	1	runs/aiwf_medium_context/20260803T143811_thinkingmachines_inkling-small_2a6c7199	30	30	29	strict_complete
DOT-23	30	dots96	1	runs/aiwf_medium_context/20260803T143831_thinkingmachines_inkling-small_405d21a2	22	22	-1	incomplete_no_end_session
DOT-24	30	dots96	1	runs/aiwf_medium_context/20260803T143938_thinkingmachines_inkling-small_99078217	29	29	28	model_abort
DOT-25	30	dots96	1	runs/aiwf_medium_context/20260803T144005_thinkingmachines_inkling-small_8a6ea072	28	28	-1	incomplete_no_end_session
DOT-26	30	dots96	1	runs/aiwf_medium_context/20260803T144115_thinkingmachines_inkling-small_40ce7417	29	29	28	model_abort
DOT-27	30	dots96	1	runs/aiwf_medium_context/20260803T144135_thinkingmachines_inkling-small_ea80caae	18	18	-1	incomplete_no_end_session
DOT-28	30	dots96	1	runs/aiwf_medium_context/20260803T144236_thinkingmachines_inkling-small_d95a91a9	30	30	29	strict_complete
DOT-29	30	dots96	1	runs/aiwf_medium_context/20260803T144300_thinkingmachines_inkling-small_aeb80e57	29	29	28	model_abort
DOT-30	30	dots96	2	runs/aiwf_medium_context/20260803T144415_thinkingmachines_inkling-small_0627eaa7	30	30	29	strict_complete
