slot	run_dir	transcript_sha256	scheduled_turns
IS-02	runs/aiwf_medium_context/20260731T105218_thinkingmachines_inkling-small_1818f402	9bc80005ce6d595d62e9a589aa10bea4a2b96af07185840722708a799f2bb217	30
IS-04	runs/aiwf_medium_context/20260731T105246_thinkingmachines_inkling-small_70f9846b	63249998ac37b67bf94bd43c8388da87654eb99ecd2663b11d514e344261f544	12
IS-06	runs/aiwf_medium_context/20260731T105357_thinkingmachines_inkling-small_f4e2b333	864933c0f0778225e97314acea217076134643a47a5ad2d1fa9511c18d24b5eb	17
IS-07	runs/aiwf_medium_context/20260731T105500_thinkingmachines_inkling-small_25f0baa6	6fe19e29867263c3af3ef1d0a2769087062eaa46591070130f59b4739a170d6d	30
IS-09	runs/aiwf_medium_context/20260731T105526_thinkingmachines_inkling-small_37033777	da6a3583f737172be17affbef4d937ddc3916e44bd43d2a3d76e41073fe2c6be	3
IS-11	runs/aiwf_medium_context/20260731T105633_thinkingmachines_inkling-small_0abce727	5aee1fe6c9b180fd93ef928d529d3c346a0320cb977217c60f9f8efd27328a07	23
IS-13	runs/aiwf_medium_context/20260731T105747_thinkingmachines_inkling-small_0b05e0f7	7abac6e6ad5f004a1ef56a206d62eb52e1cc4a3a2d0ade29ce5bb5b580326507	30
IS-16	runs/aiwf_medium_context/20260731T105909_thinkingmachines_inkling-small_6abfb1be	f42fe4cd149c4c998b5a0644a9251767c07f35fba59018305aee7b357e6b7701	30
IS-18	runs/aiwf_medium_context/20260731T110018_thinkingmachines_inkling-small_0f2029e6	2b16a4adcd0c97837de54e924efa68dfe06573b0caf3cf373eef801bc23f4581	30
IS-19	runs/aiwf_medium_context/20260731T110036_thinkingmachines_inkling-small_63a3de1c	f58e38218aa5e79afb39ad5156ab775455cc73d647ccd5debb1c9b9fa158de80	17
IS-22	runs/aiwf_medium_context/20260731T110156_thinkingmachines_inkling-small_d164ca8f	3930af47c68eebf105e9aa815df017554c590fc8c68aecb8f56a51db1849a1bf	20
IS-23	runs/aiwf_medium_context/20260731T110259_thinkingmachines_inkling-small_afaf1d33	1c3901cc0c206c5fcd0e20d6e8dbc4781da5cd5f083fc07c936600834aa71aa1	30
IS-26	runs/aiwf_medium_context/20260731T110424_thinkingmachines_inkling-small_a9fbc355	e816148f75e0362b5f78a075a5fe9ee37090d2277be0e1abc926d86085c4d0d6	30
IS-27	runs/aiwf_medium_context/20260731T110449_thinkingmachines_inkling-small_cce1f375	10df00fd577c08066bf13760888674acb20ee45bb9b1a1c1efbc8eeef97e1b35	13
IS-29	runs/aiwf_medium_context/20260731T110605_thinkingmachines_inkling-small_ee0527b0	01f4ce423ab392f250c38a5aefe1790d5ffb9b05ddfd01c2deb285ba92e90d6a	30
IS-31	runs/aiwf_medium_context/20260731T110746_thinkingmachines_inkling-small_c1c19874	938c959eebf3a59df1801a2cb8e6f17d5942ae44ec4bf41b58de6572a797a2ec	30
IS-34	runs/aiwf_medium_context/20260731T110916_thinkingmachines_inkling-small_a84db19e	6cf5f9dab46ab92929556c9187668bb4f790f2a6a4ad183e4b236a13ac3f4deb	30
IS-36	runs/aiwf_medium_context/20260731T111034_thinkingmachines_inkling-small_0e4810c9	20d17eb64606d4362500ee3df963d3041b7906a8fac412486c43ac3c54808440	30
IS-38	runs/aiwf_medium_context/20260731T111153_thinkingmachines_inkling-small_e990c834	d99669288df0695bd17a61b1ea4cdb4e78c7718cf17babf8adf8169ab91b49f4	30
IS-40	runs/aiwf_medium_context/20260731T111319_thinkingmachines_inkling-small_93e77d0d	778785cfb16a63d6c403edbbb797344f7d61b614555d3391750a5355e42b66cb	29
IS-41	runs/aiwf_medium_context/20260731T111342_thinkingmachines_inkling-small_d66afdca	6e6581dbecb5007c4146526db43e14069bb4d59267715b55e798161f7ceebc56	24
IS-44	runs/aiwf_medium_context/20260731T111506_thinkingmachines_inkling-small_c8230dc1	ea0ca45ba52e410f1b668415acfbc371b01117e233c34e92844defe4c95175e3	25
IS-45	runs/aiwf_medium_context/20260731T111613_thinkingmachines_inkling-small_1e7ce740	861f6619392d37ac6ac42a263596506f306df684a12bc877e4282c3c67c02e20	30
IS-47	runs/aiwf_medium_context/20260731T111733_thinkingmachines_inkling-small_321519f6	e66f0cc3e337ee8fffc57a269641ed7450ad91442e1d44a613a94b8215d94605	30
IS-50	runs/aiwf_medium_context/20260731T111857_thinkingmachines_inkling-small_b5feeddb	92ba70ad34f74fe66bcb5648458c6f63ae34e52d633ca8841a0f02c838ce96ea	30
IS-51	runs/aiwf_medium_context/20260731T111920_thinkingmachines_inkling-small_9807f01b	149be39390fcf6662b221d85698996943828ac91af33ec585449d6d3f6af7f15	16
IS-54	runs/aiwf_medium_context/20260731T112052_thinkingmachines_inkling-small_24bb324c	1f52777d5ab0f16baa058190817f3d77b422ae9dbd617641bfd0b7160440633f	11
IS-55	runs/aiwf_medium_context/20260731T112152_thinkingmachines_inkling-small_8d369ad9	91cc628d43c353c3ae5121fa9aa824f46c5cac70a61286ae45aac1482d88469f	30
IS-57	runs/aiwf_medium_context/20260731T112223_thinkingmachines_inkling-small_4de15ba3	18e89569bcb65f4abe7426888fd0b48b20c48d1ebd85b235499c4acc480232ca	3
IS-60	runs/aiwf_medium_context/20260731T112335_thinkingmachines_inkling-small_a5d6ea4d	7146f146e54fa0213e156a20126b59ca47444632fae1672d70ee09835224f605	30
