slot	stage_cap	arm
DOT-01	6	dots96
DOT-02	6	dots96
DOT-03	6	dots96
DOT-04	6	dots96
DOT-05	6	dots96
DOT-06	6	dots96
DOT-07	10	dots96
DOT-08	10	dots96
DOT-09	10	dots96
DOT-10	10	dots96
DOT-11	30	dots96
DOT-12	30	dots96
DOT-13	30	dots96
DOT-14	30	dots96
DOT-15	30	dots96
DOT-16	30	dots96
DOT-17	30	dots96
DOT-18	30	dots96
DOT-19	30	dots96
DOT-20	30	dots96
DOT-21	30	dots96
DOT-22	30	dots96
DOT-23	30	dots96
DOT-24	30	dots96
DOT-25	30	dots96
DOT-26	30	dots96
DOT-27	30	dots96
DOT-28	30	dots96
DOT-29	30	dots96
DOT-30	30	dots96
