metric	low	none	low_minus_none	ci95	unit
strict_pass_rate	51.66666666666667	75.11111111111111	-23.444444444444443	[-36.77777777777777,-9.111111111111125]	percentage points
any_error_rate	48.33333333333333	24.88888888888889	23.44444444444444	[9.222222222222221,36.77777777777778]	percentage points
tool_use_correct_error_rate	48.00000000000001	23.777777777777775	24.222222222222232	[9.666666666666668,37.66666666666667]	percentage points
instruction_following_error_rate	48.33333333333333	24.22222222222222	24.111111111111107	[9.666666666666663,37.44444444444445]	percentage points
kb_grounding_error_rate	43.55555555555556	20.444444444444443	23.111111111111114	[7.8888888888888955,37.222222222222236]	percentage points
turn_taking_error_rate	43.55555555555556	19.666666666666668	23.88888888888889	[8.666666666666668,38.00000000000001]	percentage points
full_scheduled_coverage	10.0	56.666666666666664	-46.666666666666664	[-70.0,-23.333333333333332]	percentage points
strict_protocol_completion	10.0	56.666666666666664	-46.666666666666664	[-70.0,-23.333333333333332]	percentage points
ttfat_p50_ms	277.0	279.0	-2.0	[-4.0,2.0]	ms
ttfat_p95_ms	849.2999999999995	827.8	21.499999999999545	[-350.6999999999982,478.40249999999986]	ms
raw_ttfb_p50_ms	277.0	279.0	-2.0	[-4.0,2.0]	ms
raw_ttfb_p95_ms	849.2999999999995	827.8	21.499999999999545	[-349.10250000000013,469.94999999999794]	ms
reasoning_tokens_p50	0.0	0.0	0.0	[0.0,0.0]	tokens
reasoning_tokens_p95	0.0	0.0	0.0	[0.0,0.0]	tokens
