arm	turn	assigned_conversations	observed_responses	missing_future_turns	strict_pass_count	strict_error_count	tool_use_correct_error_count	instruction_following_error_count	kb_grounding_error_count	turn_taking_error_count	ttfat_observations	ttfat_p50_ms	ttfat_p95_ms	raw_ttfb_observations	raw_ttfb_p50_ms	reasoning_token_observations	reasoning_tokens_p50
none	0	30	30	0	30	0	0	0	0	0	30	506.5	584.65	30	506.5	30	0.0
none	1	30	30	0	30	0	0	0	0	0	30	269.0	605.7999999999986	30	269.0	30	0.0
none	2	30	30	0	30	0	0	0	0	0	30	271.5	446.7499999999996	30	271.5	30	0.0
none	3	30	28	2	28	2	2	2	2	2	28	267.5	820.7999999999996	28	267.5	28	0.0
none	4	30	28	2	28	2	2	2	2	2	28	270.5	289.25	28	270.5	28	0.0
none	5	30	28	2	28	2	2	2	2	2	28	273.5	1442.4999999999986	28	273.5	28	0.0
none	6	30	28	2	28	2	2	2	2	2	28	272.0	350.15	28	272.0	28	0.0
none	7	30	28	2	28	2	2	2	2	2	28	273.0	325.59999999999997	28	273.0	28	0.0
none	8	30	28	2	28	2	2	2	2	2	28	272.5	698.9999999999992	28	272.5	28	0.0
none	9	30	28	2	28	2	2	2	2	2	28	270.0	645.2999999999993	28	270.0	28	0.0
none	10	30	28	2	28	2	2	2	2	2	28	267.0	626.4999999999993	28	267.0	28	0.0
none	11	30	27	3	27	3	3	3	3	3	27	370.0	954.5999999999999	27	370.0	27	0.0
none	12	30	26	4	26	4	4	4	4	4	26	388.5	562.25	26	388.5	26	0.0
none	13	30	25	5	25	5	5	5	5	5	25	274.0	292.79999999999995	25	274.0	25	0.0
none	14	30	25	5	18	12	12	12	5	5	25	279.0	924.8	25	279.0	25	0.0
none	15	30	25	5	22	8	8	8	5	5	25	334.0	473.99999999999994	25	334.0	25	0.0
none	16	30	24	6	4	26	25	26	6	6	24	409.0	1005.4999999999999	24	409.0	24	0.0
none	17	30	22	8	16	14	13	14	8	8	22	366.5	495.9	22	366.0	22	0.0
none	18	30	22	8	22	8	8	8	8	8	22	275.0	782.5499999999996	22	274.5	22	0.0
none	19	30	22	8	21	9	8	9	8	8	22	277.5	286.95	22	277.5	22	0.0
none	20	30	21	9	16	14	9	9	14	9	21	278.0	337.0	21	278.0	21	0.0
none	21	30	21	9	19	11	9	10	11	9	21	277.0	828.0	21	277.0	21	0.0
none	22	30	21	9	21	9	9	9	9	9	21	281.0	857.0	21	281.0	21	0.0
none	23	30	20	10	20	10	10	10	10	10	20	277.0	382.3000000000003	20	277.0	20	0.0
none	24	30	19	11	17	13	13	13	11	11	19	369.0	506.5999999999993	19	369.0	19	0.0
none	25	30	18	12	18	12	12	12	12	12	18	276.5	326.6	18	276.5	18	0.0
none	26	30	18	12	18	12	12	12	12	12	18	278.5	522.299999999998	18	278.5	18	0.0
none	27	30	18	12	18	12	12	12	12	12	18	286.5	1785.0999999999997	18	286.5	18	0.0
none	28	30	18	12	17	13	13	13	12	12	18	283.5	876.65	18	283.5	18	0.0
none	29	30	17	13	17	13	13	13	13	13	17	320.0	513.7999999999997	17	320.0	17	0.0
low	0	30	30	0	30	0	0	0	0	0	30	517.5	873.799999999999	30	517.5	30	0.0
low	1	30	29	1	29	1	1	1	1	1	29	269.0	846.1999999999999	29	269.0	29	0.0
low	2	30	29	1	29	1	1	1	1	1	29	271.0	327.7999999999999	29	271.0	29	0.0
low	3	30	28	2	28	2	2	2	2	2	28	272.5	337.5	28	272.5	28	0.0
low	4	30	28	2	28	2	2	2	2	2	28	269.0	372.3499999999999	28	269.0	28	0.0
low	5	30	28	2	28	2	2	2	2	2	28	274.5	330.45	28	274.5	28	0.0
low	6	30	27	3	27	3	3	3	3	3	27	273.0	305.9	27	273.0	27	0.0
low	7	30	27	3	27	3	3	3	3	3	27	271.0	327.0	27	271.0	27	0.0
low	8	30	27	3	27	3	3	3	3	3	27	270.0	761.1999999999996	27	270.0	27	0.0
low	9	30	27	3	27	3	3	3	3	3	27	274.0	710.6999999999996	27	274.0	27	0.0
low	10	30	27	3	27	3	3	3	3	3	27	269.0	294.3	27	269.0	27	0.0
low	11	30	27	3	27	3	3	3	3	3	27	364.0	983.1	27	364.0	27	0.0
low	12	30	27	3	27	3	3	3	3	3	27	383.0	805.3999999999997	27	383.0	27	0.0
low	13	30	26	4	26	4	4	4	4	4	26	276.0	706.75	26	276.0	26	0.0
low	14	30	26	4	9	21	20	21	4	4	26	348.5	481.25	26	348.5	26	0.0
low	15	30	26	4	16	14	14	14	4	4	26	333.5	1601.0	26	333.5	26	0.0
low	16	30	10	20	0	30	30	30	20	20	10	378.5	724.2499999999995	10	378.5	10	0.0
low	17	30	9	21	4	26	24	26	21	21	9	292.0	452.4	9	292.0	9	0.0
low	18	30	6	24	6	24	24	24	24	24	6	271.0	685.25	6	271.0	6	0.0
low	19	30	6	24	6	24	24	24	24	24	6	296.5	800.75	6	296.5	6	0.0
low	20	30	6	24	6	24	24	24	24	24	6	281.5	1456.75	6	281.5	6	0.0
low	21	30	5	25	5	25	25	25	25	25	5	292.0	1479.3999999999996	5	291.0	5	0.0
low	22	30	4	26	4	26	26	26	26	26	4	284.5	285.85	4	284.5	4	0.0
low	23	30	4	26	4	26	26	26	26	26	4	275.5	279.4	4	275.5	4	0.0
low	24	30	4	26	3	27	27	27	26	26	4	381.5	761.3999999999999	4	381.5	4	0.0
low	25	30	3	27	3	27	27	27	27	27	3	277.0	314.8	3	277.0	3	0.0
low	26	30	3	27	3	27	27	27	27	27	3	283.0	287.5	3	283.0	3	0.0
low	27	30	3	27	3	27	27	27	27	27	3	274.0	281.2	3	274.0	3	0.0
low	28	30	3	27	3	27	27	27	27	27	3	273.0	275.7	3	273.0	3	0.0
low	29	30	3	27	3	27	27	27	27	27	3	320.0	356.0	3	320.0	3	0.0
