slot	pair	arm	attempt	started_at	finished_at	exit_code	run_dir	scheduled_rows	response_turns	end_session_turn	classification	log
IS-01	1	low	1	2026-07-31T17:52:06+00:00	2026-07-31T17:52:16+00:00	0	runs/aiwf_medium_context/20260731T105207_thinkingmachines_inkling-small_a54d0995	16	16	30	recovery_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-01-attempt-1.log
IS-02	1	none	1	2026-07-31T17:52:16+00:00	2026-07-31T17:52:33+00:00	0	runs/aiwf_medium_context/20260731T105218_thinkingmachines_inkling-small_1818f402	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-02-attempt-1.log
IS-03	2	low	1	2026-07-31T17:52:33+00:00	2026-07-31T17:52:44+00:00	0	runs/aiwf_medium_context/20260731T105235_thinkingmachines_inkling-small_accc4502	16	16	15	model_abort	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-03-attempt-1.log
IS-04	2	none	1	2026-07-31T17:52:44+00:00	2026-07-31T17:53:40+00:00	0	runs/aiwf_medium_context/20260731T105246_thinkingmachines_inkling-small_70f9846b	12	12	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-04-attempt-1.log
IS-05	3	low	1	2026-07-31T17:53:40+00:00	2026-07-31T17:53:55+00:00	0	runs/aiwf_medium_context/20260731T105341_thinkingmachines_inkling-small_70cdae48	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-05-attempt-1.log
IS-06	3	none	1	2026-07-31T17:53:55+00:00	2026-07-31T17:54:58+00:00	0	runs/aiwf_medium_context/20260731T105357_thinkingmachines_inkling-small_f4e2b333	17	17	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-06-attempt-1.log
IS-07	4	none	1	2026-07-31T17:54:58+00:00	2026-07-31T17:55:15+00:00	0	runs/aiwf_medium_context/20260731T105500_thinkingmachines_inkling-small_25f0baa6	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-07-attempt-1.log
IS-08	4	low	1	2026-07-31T17:55:15+00:00	2026-07-31T17:55:25+00:00	0	runs/aiwf_medium_context/20260731T105516_thinkingmachines_inkling-small_e43cdc51	16	16	15	model_abort	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-08-attempt-1.log
IS-09	5	none	1	2026-07-31T17:55:25+00:00	2026-07-31T17:56:16+00:00	0	runs/aiwf_medium_context/20260731T105526_thinkingmachines_inkling-small_37033777	3	3	-1	incomplete_no_end_session	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-09-attempt-1.log
IS-10	5	low	1	2026-07-31T17:56:16+00:00	2026-07-31T17:56:31+00:00	0	runs/aiwf_medium_context/20260731T105617_thinkingmachines_inkling-small_fe2ffc45	30	30	29	strict_complete	ops/baseten-inkling-small/aiewf-medium-none-low-n30-20260731/logs/IS-10-attempt-1.log
