slot	attempt	started_at	finished_at	exit_code	run_dir	scheduled_rows	response_turns	tool_calls	token_rows	end_session_turn	classification	log
K26-01	1	2026-08-06T16:17:43Z	2026-08-06T16:18:16Z	0	runs/aiwf_medium_context/20260806T091743_moonshotai_Kimi-K2.6_fba32308	30	30	5	30	30	strict_complete	ops/model-freshness-2026-08-06/logs/hosted-kimi26_none-attempt1.log
K26-03	1	2026-08-06T16:29:35+00:00	2026-08-06T16:30:50+00:00	recovered	runs/aiwf_medium_context/20260806T162935Z_moonshotai_Kimi-K2.6_none_K26-03_attempt01_4ed45088	29	29	4	29	-1	incomplete_scheduled_turns	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-03-attempt-01.log
K26-02	1	2026-08-06T16:29:35+00:00	2026-08-06T16:30:50+00:00	recovered	runs/aiwf_medium_context/20260806T162935Z_moonshotai_Kimi-K2.6_none_K26-02_attempt01_a795d8a8	25	25	2	25	-1	incomplete_scheduled_turns	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-02-attempt-01.log
K26-02	2	2026-08-06T16:30:50+00:00	2026-08-06T16:33:16+00:00	recovered	runs/aiwf_medium_context/20260806T163050Z_moonshotai_Kimi-K2.6_none_K26-02_attempt02_0fcddd7c	5	5	0	5	-1	incomplete_scheduled_turns	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-02-attempt-02.log
K26-03	2	2026-08-06T16:30:50+00:00	2026-08-06T16:33:16+00:00	recovered	runs/aiwf_medium_context/20260806T163050Z_moonshotai_Kimi-K2.6_none_K26-03_attempt02_5224e4be	6	6	0	6	-1	incomplete_scheduled_turns	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-03-attempt-02.log
K26-02	3	2026-08-06T16:33:16+00:00	2026-08-06T16:33:44+00:00	0	runs/aiwf_medium_context/20260806T163316Z_moonshotai_Kimi-K2.6_none_K26-02_attempt03_bfcbce32	30	30	5	30	31	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-02-attempt-03.log
K26-03	3	2026-08-06T16:33:44+00:00	2026-08-06T16:34:18+00:00	0	runs/aiwf_medium_context/20260806T163344Z_moonshotai_Kimi-K2.6_none_K26-03_attempt03_00477416	30	30	4	30	31	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-03-attempt-03.log
K26-04	1	2026-08-06T16:35:09+00:00	2026-08-06T16:35:42+00:00	0	runs/aiwf_medium_context/20260806T163509Z_moonshotai_Kimi-K2.6_none_K26-04_attempt01_80fd98b6	30	30	2	30	-1	strict_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-04-attempt-01.log
K26-04	2	2026-08-06T16:35:42+00:00	2026-08-06T16:36:28+00:00	0	runs/aiwf_medium_context/20260806T163542Z_moonshotai_Kimi-K2.6_none_K26-04_attempt02_bb410933	30	30	2	30	-1	out_of_cohort_duplicate_complete	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-04-attempt-02.log
K26-04	3	2026-08-06T16:36:28+00:00	2026-08-06T16:37:08+00:00	interrupted	runs/aiwf_medium_context/20260806T163628Z_moonshotai_Kimi-K2.6_none_K26-04_attempt03_bb1736d1	29	29	4	29	-1	out_of_cohort_duplicate_interrupted	ops/baseten-kimi-k2.6/aiewf-medium-none-n30-20260806/logs/K26-04-attempt-03.log
