slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
1	none	1	2026-08-07T11:28:20+00:00	2026-08-07T11:29:14+00:00	unknown	runs/aiwf_medium_context/20260807T112820Z_google_gemma-4-31B-it_none_slot001_attempt01_a4ac1989	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot001-none-attempt01.log
2	none	1	2026-08-07T11:29:14+00:00	2026-08-07T11:30:01+00:00	unknown	runs/aiwf_medium_context/20260807T112914Z_google_gemma-4-31B-it_none_slot002_attempt01_f96f3bd1	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot002-none-attempt01.log
3	none	1	2026-08-07T11:30:01+00:00	2026-08-07T11:30:48+00:00	unknown	runs/aiwf_medium_context/20260807T113001Z_google_gemma-4-31B-it_none_slot003_attempt01_b5c485ac	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot003-none-attempt01.log
4	none	1	2026-08-07T11:30:48+00:00	2026-08-07T11:31:35+00:00	unknown	runs/aiwf_medium_context/20260807T113048Z_google_gemma-4-31B-it_none_slot004_attempt01_7f153bff	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot004-none-attempt01.log
5	none	1	2026-08-07T11:31:35+00:00	2026-08-07T11:32:21+00:00	unknown	runs/aiwf_medium_context/20260807T113135Z_google_gemma-4-31B-it_none_slot005_attempt01_724b172a	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot005-none-attempt01.log
6	none	1	2026-08-07T11:32:21+00:00	2026-08-07T11:33:09+00:00	unknown	runs/aiwf_medium_context/20260807T113221Z_google_gemma-4-31B-it_none_slot006_attempt01_9db2394b	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot006-none-attempt01.log
7	none	1	2026-08-07T11:33:09+00:00	2026-08-07T11:33:54+00:00	unknown	runs/aiwf_medium_context/20260807T113309Z_google_gemma-4-31B-it_none_slot007_attempt01_f7c43cbc	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot007-none-attempt01.log
8	none	1	2026-08-07T11:33:54+00:00	2026-08-07T11:34:40+00:00	unknown	runs/aiwf_medium_context/20260807T113354Z_google_gemma-4-31B-it_none_slot008_attempt01_f79e9618	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot008-none-attempt01.log
9	none	1	2026-08-07T11:34:40+00:00	2026-08-07T11:35:23+00:00	unknown	runs/aiwf_medium_context/20260807T113440Z_google_gemma-4-31B-it_none_slot009_attempt01_f291fb44	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot009-none-attempt01.log
10	none	1	2026-08-07T11:35:23+00:00	2026-08-07T11:36:08+00:00	unknown	runs/aiwf_medium_context/20260807T113523Z_google_gemma-4-31B-it_none_slot010_attempt01_e3e2d5a6	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot010-none-attempt01.log
11	none	1	2026-08-07T11:36:08+00:00	2026-08-07T11:36:55+00:00	unknown	runs/aiwf_medium_context/20260807T113608Z_google_gemma-4-31B-it_none_slot011_attempt01_b914e6e0	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-bf16kv-n120-extension-20260807/logs/slot011-none-attempt01.log
