slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
1	none	1	2026-08-07T09:59:35+00:00	2026-08-07T10:00:21+00:00	unknown	runs/aiwf_medium_context/20260807T095935Z_google_gemma-4-31B-it_none_slot001_attempt01_641c7af4	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot001-none-attempt01.log
2	none	1	2026-08-07T10:00:21+00:00	2026-08-07T10:01:06+00:00	unknown	runs/aiwf_medium_context/20260807T100021Z_google_gemma-4-31B-it_none_slot002_attempt01_ab3a44f8	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot002-none-attempt01.log
3	none	1	2026-08-07T10:01:06+00:00	2026-08-07T10:01:49+00:00	unknown	runs/aiwf_medium_context/20260807T100106Z_google_gemma-4-31B-it_none_slot003_attempt01_23c0a33c	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot003-none-attempt01.log
4	none	1	2026-08-07T10:01:49+00:00	2026-08-07T10:02:31+00:00	unknown	runs/aiwf_medium_context/20260807T100149Z_google_gemma-4-31B-it_none_slot004_attempt01_995f2898	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot004-none-attempt01.log
5	none	1	2026-08-07T10:02:31+00:00	2026-08-07T10:03:12+00:00	unknown	runs/aiwf_medium_context/20260807T100231Z_google_gemma-4-31B-it_none_slot005_attempt01_5492847b	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot005-none-attempt01.log
6	none	1	2026-08-07T10:03:12+00:00	2026-08-07T10:03:56+00:00	unknown	runs/aiwf_medium_context/20260807T100312Z_google_gemma-4-31B-it_none_slot006_attempt01_d3d66fd4	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot006-none-attempt01.log
7	none	1	2026-08-07T10:03:56+00:00	2026-08-07T10:04:41+00:00	unknown	runs/aiwf_medium_context/20260807T100356Z_google_gemma-4-31B-it_none_slot007_attempt01_8e946446	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot007-none-attempt01.log
8	none	1	2026-08-07T10:04:41+00:00	2026-08-07T10:05:25+00:00	unknown	runs/aiwf_medium_context/20260807T100441Z_google_gemma-4-31B-it_none_slot008_attempt01_237ff3b8	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot008-none-attempt01.log
9	none	1	2026-08-07T10:05:25+00:00	2026-08-07T10:06:10+00:00	unknown	runs/aiwf_medium_context/20260807T100525Z_google_gemma-4-31B-it_none_slot009_attempt01_fa56ef8b	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot009-none-attempt01.log
10	none	1	2026-08-07T10:06:10+00:00	2026-08-07T10:06:54+00:00	unknown	runs/aiwf_medium_context/20260807T100610Z_google_gemma-4-31B-it_none_slot010_attempt01_e6108e80	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot010-none-attempt01.log
