ordinal	block	position	arm	arm_index
1	1	1	low	1
2	1	2	medium	1
3	1	3	xhigh	1
4	1	4	high	1
5	2	1	medium	2
6	2	2	high	2
7	2	3	low	2
8	2	4	xhigh	2
9	3	1	high	3
10	3	2	xhigh	3
11	3	3	medium	3
12	3	4	low	3
13	4	1	xhigh	4
14	4	2	low	4
15	4	3	high	4
16	4	4	medium	4
17	5	1	low	5
18	5	2	medium	5
19	5	3	xhigh	5
20	5	4	high	5
21	6	1	medium	6
22	6	2	high	6
23	6	3	low	6
24	6	4	xhigh	6
25	7	1	high	7
26	7	2	xhigh	7
27	7	3	medium	7
28	7	4	low	7
29	8	1	xhigh	8
30	8	2	low	8
31	8	3	high	8
32	8	4	medium	8
33	9	1	low	9
34	9	2	medium	9
35	9	3	xhigh	9
36	9	4	high	9
37	10	1	medium	10
38	10	2	high	10
39	10	3	low	10
40	10	4	xhigh	10
41	11	1	high	11
42	11	2	xhigh	11
43	11	3	medium	11
44	11	4	low	11
45	12	1	xhigh	12
46	12	2	low	12
47	12	3	high	12
48	12	4	medium	12
49	13	1	low	13
50	13	2	medium	13
51	13	3	xhigh	13
52	13	4	high	13
53	14	1	medium	14
54	14	2	high	14
55	14	3	low	14
56	14	4	xhigh	14
57	15	1	high	15
58	15	2	xhigh	15
59	15	3	medium	15
60	15	4	low	15
61	16	1	xhigh	16
62	16	2	low	16
63	16	3	high	16
64	16	4	medium	16
65	17	1	low	17
66	17	2	medium	17
67	17	3	xhigh	17
68	17	4	high	17
69	18	1	medium	18
70	18	2	high	18
71	18	3	low	18
72	18	4	xhigh	18
73	19	1	high	19
74	19	2	xhigh	19
75	19	3	medium	19
76	19	4	low	19
77	20	1	xhigh	20
78	20	2	low	20
79	20	3	high	20
80	20	4	medium	20
81	21	1	low	21
82	21	2	medium	21
83	21	3	xhigh	21
84	21	4	high	21
85	22	1	medium	22
86	22	2	high	22
87	22	3	low	22
88	22	4	xhigh	22
89	23	1	high	23
90	23	2	xhigh	23
91	23	3	medium	23
92	23	4	low	23
93	24	1	xhigh	24
94	24	2	low	24
95	24	3	high	24
96	24	4	medium	24
97	25	1	low	25
98	25	2	medium	25
99	25	3	xhigh	25
100	25	4	high	25
101	26	1	medium	26
102	26	2	high	26
103	26	3	low	26
104	26	4	xhigh	26
105	27	1	high	27
106	27	2	xhigh	27
107	27	3	medium	27
108	27	4	low	27
109	28	1	xhigh	28
110	28	2	low	28
111	28	3	high	28
112	28	4	medium	28
113	29	1	low	29
114	29	2	medium	29
115	29	3	xhigh	29
116	29	4	high	29
117	30	1	medium	30
118	30	2	high	30
119	30	3	low	30
120	30	4	xhigh	30
