slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
1	off	1	2026-08-12T01:16:40+00:00	2026-08-12T01:16:47+00:00	unknown	runs/aiwf_medium_context/20260812T011640Z_nemotron-3.5-lightning_off_slot001_attempt01_09ec606c	8	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot001-off-attempt01.log
2	on-unbounded	1	2026-08-12T01:16:47+00:00	2026-08-12T01:18:05+00:00	unknown	runs/aiwf_medium_context/20260812T011647Z_nemotron-3.5-lightning_on-unbounded_slot002_attempt01_6dafeb8d	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot002-on-unbounded-attempt01.log
3	on-unbounded	1	2026-08-12T01:18:05+00:00	2026-08-12T01:19:12+00:00	unknown	runs/aiwf_medium_context/20260812T011805Z_nemotron-3.5-lightning_on-unbounded_slot003_attempt01_d7f263c7	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot003-on-unbounded-attempt01.log
4	off	1	2026-08-12T01:19:12+00:00	2026-08-12T01:19:19+00:00	unknown	runs/aiwf_medium_context/20260812T011912Z_nemotron-3.5-lightning_off_slot004_attempt01_3e3c5ec7	7	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot004-off-attempt01.log
5	off	1	2026-08-12T01:19:19+00:00	2026-08-12T01:19:38+00:00	unknown	runs/aiwf_medium_context/20260812T011919Z_nemotron-3.5-lightning_off_slot005_attempt01_f773c6d2	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot005-off-attempt01.log
6	on-unbounded	1	2026-08-12T01:19:38+00:00	2026-08-12T01:20:56+00:00	unknown	runs/aiwf_medium_context/20260812T011938Z_nemotron-3.5-lightning_on-unbounded_slot006_attempt01_3052731e	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot006-on-unbounded-attempt01.log
7	on-unbounded	1	2026-08-12T01:20:56+00:00	2026-08-12T01:22:28+00:00	unknown	runs/aiwf_medium_context/20260812T012056Z_nemotron-3.5-lightning_on-unbounded_slot007_attempt01_002bd5e5	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot007-on-unbounded-attempt01.log
8	off	1	2026-08-12T01:22:28+00:00	2026-08-12T01:22:34+00:00	unknown	runs/aiwf_medium_context/20260812T012228Z_nemotron-3.5-lightning_off_slot008_attempt01_20b22df3	8	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot008-off-attempt01.log
9	off	1	2026-08-12T01:22:34+00:00	2026-08-12T01:22:58+00:00	unknown	runs/aiwf_medium_context/20260812T012234Z_nemotron-3.5-lightning_off_slot009_attempt01_24dc663e	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot009-off-attempt01.log
10	on-unbounded	1	2026-08-12T01:22:58+00:00	2026-08-12T01:24:41+00:00	unknown	runs/aiwf_medium_context/20260812T012258Z_nemotron-3.5-lightning_on-unbounded_slot010_attempt01_bd58ff2f	30	complete_30	ops/local-nemotron35-lightning-sglang/aiewf-medium-binary-n30-20260811/artifacts/logs/slot010-on-unbounded-attempt01.log
