slot	arm	attempt	run_dir	turns	response_turns	tool_calls	classification
1	off	1	runs/aiwf_medium_context/20260812T011640Z_nemotron-3.5-lightning_off_slot001_attempt01_09ec606c	8	8	2	fixed_denominator_short
2	on-unbounded	1	runs/aiwf_medium_context/20260812T011647Z_nemotron-3.5-lightning_on-unbounded_slot002_attempt01_6dafeb8d	30	30	7	complete_30
3	on-unbounded	1	runs/aiwf_medium_context/20260812T011805Z_nemotron-3.5-lightning_on-unbounded_slot003_attempt01_d7f263c7	30	30	7	complete_30
4	off	1	runs/aiwf_medium_context/20260812T011912Z_nemotron-3.5-lightning_off_slot004_attempt01_3e3c5ec7	7	7	1	fixed_denominator_short
5	off	1	runs/aiwf_medium_context/20260812T011919Z_nemotron-3.5-lightning_off_slot005_attempt01_f773c6d2	30	30	7	complete_30
6	on-unbounded	1	runs/aiwf_medium_context/20260812T011938Z_nemotron-3.5-lightning_on-unbounded_slot006_attempt01_3052731e	30	30	6	complete_30
7	on-unbounded	1	runs/aiwf_medium_context/20260812T012056Z_nemotron-3.5-lightning_on-unbounded_slot007_attempt01_002bd5e5	30	30	6	complete_30
8	off	1	runs/aiwf_medium_context/20260812T012228Z_nemotron-3.5-lightning_off_slot008_attempt01_20b22df3	8	8	2	fixed_denominator_short
9	off	1	runs/aiwf_medium_context/20260812T012234Z_nemotron-3.5-lightning_off_slot009_attempt01_24dc663e	30	30	11	complete_30
10	on-unbounded	1	runs/aiwf_medium_context/20260812T012258Z_nemotron-3.5-lightning_on-unbounded_slot010_attempt01_bd58ff2f	30	30	5	complete_30
11	on-unbounded	1	runs/aiwf_medium_context/20260812T012441Z_nemotron-3.5-lightning_on-unbounded_slot011_attempt01_ca548617	30	30	7	complete_30
12	off	1	runs/aiwf_medium_context/20260812T012612Z_nemotron-3.5-lightning_off_slot012_attempt01_fb48d097	30	30	5	complete_30
13	off	1	runs/aiwf_medium_context/20260812T012625Z_nemotron-3.5-lightning_off_slot013_attempt01_b8debd90	24	24	6	fixed_denominator_short
14	on-unbounded	1	runs/aiwf_medium_context/20260812T012641Z_nemotron-3.5-lightning_on-unbounded_slot014_attempt01_c7f041b6	30	30	6	complete_30
15	on-unbounded	1	runs/aiwf_medium_context/20260812T012758Z_nemotron-3.5-lightning_on-unbounded_slot015_attempt01_6269fa1f	30	30	6	complete_30
16	off	1	runs/aiwf_medium_context/20260812T012916Z_nemotron-3.5-lightning_off_slot016_attempt01_27d52418	9	9	3	fixed_denominator_short
17	off	1	runs/aiwf_medium_context/20260812T012922Z_nemotron-3.5-lightning_off_slot017_attempt01_e4303707	9	9	3	fixed_denominator_short
18	on-unbounded	1	runs/aiwf_medium_context/20260812T012928Z_nemotron-3.5-lightning_on-unbounded_slot018_attempt01_a778b0a3	30	30	7	complete_30
19	on-unbounded	1	runs/aiwf_medium_context/20260812T013057Z_nemotron-3.5-lightning_on-unbounded_slot019_attempt01_fce36302	30	30	7	complete_30
20	off	1	runs/aiwf_medium_context/20260812T013227Z_nemotron-3.5-lightning_off_slot020_attempt01_7561b834	1	1	1	fixed_denominator_short
21	off	1	runs/aiwf_medium_context/20260812T013231Z_nemotron-3.5-lightning_off_slot021_attempt01_ad44ef6a	7	7	1	fixed_denominator_short
22	on-unbounded	1	runs/aiwf_medium_context/20260812T013235Z_nemotron-3.5-lightning_on-unbounded_slot022_attempt01_c92c7ed1	30	30	6	complete_30
23	on-unbounded	1	runs/aiwf_medium_context/20260812T013417Z_nemotron-3.5-lightning_on-unbounded_slot023_attempt01_c70d37d1	30	30	7	complete_30
24	off	1	runs/aiwf_medium_context/20260812T013534Z_nemotron-3.5-lightning_off_slot024_attempt01_3a8c56a6	30	30	7	complete_30
25	off	1	runs/aiwf_medium_context/20260812T013551Z_nemotron-3.5-lightning_off_slot025_attempt01_28530dbd	30	30	7	complete_30
26	on-unbounded	1	runs/aiwf_medium_context/20260812T013607Z_nemotron-3.5-lightning_on-unbounded_slot026_attempt01_0c523ea5	30	30	6	complete_30
27	on-unbounded	1	runs/aiwf_medium_context/20260812T013726Z_nemotron-3.5-lightning_on-unbounded_slot027_attempt01_89db0892	30	30	7	complete_30
28	off	1	runs/aiwf_medium_context/20260812T013839Z_nemotron-3.5-lightning_off_slot028_attempt01_1642d40f	30	30	8	complete_30
29	off	1	runs/aiwf_medium_context/20260812T013857Z_nemotron-3.5-lightning_off_slot029_attempt01_2b47b79b	9	9	3	fixed_denominator_short
30	on-unbounded	1	runs/aiwf_medium_context/20260812T013905Z_nemotron-3.5-lightning_on-unbounded_slot030_attempt01_47474a41	30	30	7	complete_30
31	on-unbounded	1	runs/aiwf_medium_context/20260812T014033Z_nemotron-3.5-lightning_on-unbounded_slot031_attempt01_d936c971	30	30	6	complete_30
32	off	1	runs/aiwf_medium_context/20260812T014145Z_nemotron-3.5-lightning_off_slot032_attempt01_43128fed	30	30	8	complete_30
33	off	1	runs/aiwf_medium_context/20260812T014200Z_nemotron-3.5-lightning_off_slot033_attempt01_f102998b	30	30	10	complete_30
