slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
1	dots96	1	2026-08-12T14:27:43+00:00	2026-08-12T14:32:06+00:00	-15	runs/aiwf_medium_context/20260812T142743Z_nemotron-3.5-lightning_dots96_slot001_attempt01_489c12ee	5	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot001-dots96-attempt01.log
2	dashes96	1	2026-08-12T14:32:06+00:00	2026-08-12T14:36:28+00:00	-15	runs/aiwf_medium_context/20260812T143206Z_nemotron-3.5-lightning_dashes96_slot002_attempt01_6f0909b0	5	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot002-dashes96-attempt01.log
3	dashes96	1	2026-08-12T14:36:28+00:00	2026-08-12T14:39:51+00:00	-15	runs/aiwf_medium_context/20260812T143628Z_nemotron-3.5-lightning_dashes96_slot003_attempt01_a3fe6379	11	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot003-dashes96-attempt01.log
4	dots96	1	2026-08-12T14:39:51+00:00	2026-08-12T14:42:49+00:00	-15	runs/aiwf_medium_context/20260812T143951Z_nemotron-3.5-lightning_dots96_slot004_attempt01_159d86f0	5	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot004-dots96-attempt01.log
5	dots96	1	2026-08-12T14:42:49+00:00	2026-08-12T14:45:59+00:00	-15	runs/aiwf_medium_context/20260812T144249Z_nemotron-3.5-lightning_dots96_slot005_attempt01_f47d2292	10	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot005-dots96-attempt01.log
6	dashes96	1	2026-08-12T14:45:59+00:00	2026-08-12T14:48:49+00:00	-15	runs/aiwf_medium_context/20260812T144559Z_nemotron-3.5-lightning_dashes96_slot006_attempt01_8a793cc2	2	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot006-dashes96-attempt01.log
7	dashes96	1	2026-08-12T14:48:49+00:00	2026-08-12T14:52:23+00:00	-15	runs/aiwf_medium_context/20260812T144849Z_nemotron-3.5-lightning_dashes96_slot007_attempt01_f8aac249	17	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot007-dashes96-attempt01.log
8	dots96	1	2026-08-12T14:52:23+00:00	2026-08-12T14:55:48+00:00	-15	runs/aiwf_medium_context/20260812T145223Z_nemotron-3.5-lightning_dots96_slot008_attempt01_7077ddae	12	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot008-dots96-attempt01.log
9	dots96	1	2026-08-12T14:55:48+00:00	2026-08-12T14:58:40+00:00	-15	runs/aiwf_medium_context/20260812T145548Z_nemotron-3.5-lightning_dots96_slot009_attempt01_d373709c	3	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot009-dots96-attempt01.log
10	dashes96	1	2026-08-12T14:58:40+00:00	2026-08-12T15:02:00+00:00	-15	runs/aiwf_medium_context/20260812T145840Z_nemotron-3.5-lightning_dashes96_slot010_attempt01_ba57f1b6	12	fixed_denominator_short	ops/local-nemotron35-lightning-sglang/aiewf-medium-thinking-on-fillers-n30-20260812/artifacts/logs/slot010-dashes96-attempt01.log
