model,n,eligible_n,correct,correct_pct,redundant,redundant_pct,redundant_ci_low,redundant_ci_high,redundant_share_of_failures_pct,false_completion,no_tool_other,other_failures,mean_judged_pass_pct
google/gemma-4-31B-it,452,452,180,39.823008849557525,117,25.884955752212388,22.06219334486685,30.114161880919983,43.01470588235294,148,7,0,96.09144542772862
nemotron-3-super-120b,218,218,201,92.20183486238533,5,2.293577981651376,0.9835660528271731,5.255781134247377,29.41176470588235,0,12,0,94.18960244648318
moonshotai-kimi-k2.6,110,110,110,100.0,0,0.0,0.0,3.3743935298164183,0.0,0,0,0,96.72727272727273
gemini-3.5-flash,103,103,102,99.02912621359224,0,0.0,0.0,3.595475822864816,0.0,1,0,0,97.86407766990291
gpt-5.4-2026-03-05,71,71,25,35.2112676056338,40,56.33802816901409,44.77154306941805,67.25387725484671,86.95652173913044,0,6,0,94.03755868544602
thinkingmachines/inkling,67,67,63,94.02985074626865,2,2.985074626865672,0.8224694838897962,10.246555563352011,50.0,0,2,0,95.32338308457712
moonshotai/Kimi-K2.6,66,66,66,100.0,0,0.0,0.0,5.500255701354129,0.0,0,0,0,95.95959595959596
gemma-4-31b,64,64,42,65.625,6,9.375,4.367825258519837,18.982879599645596,27.272727272727273,16,0,0,96.5625
nemotron-3-ultra,60,60,60,100.0,0,0.0,0.0,6.017185214208986,0.0,0,0,0,95.05555555555556
google/gemma-4-31b-it,59,59,35,59.32203389830509,13,22.033898305084747,13.354197627929038,34.132699367637095,54.166666666666664,11,0,0,96.61016949152543
google/gemma-4-26B-A4B-it,55,55,0,0.0,55,100.0,93.47150988829137,100.0,100.0,0,0,0,81.45454545454545
Qwen/Qwen3.6-27B,53,53,53,100.0,0,0.0,0.0,6.758198857654187,0.0,0,0,0,98.05031446540882
nemotron-3-nano-30b,52,52,48,92.3076923076923,4,7.6923076923076925,3.0319345184930127,18.173562384295337,100.0,0,0,0,87.56410256410255
claude-sonnet-4-6,51,51,50,98.03921568627452,0,0.0,0.0,7.004661989853143,0.0,0,0,1,79.80392156862744
nvidia/nemotron-3-super,48,48,36,75.0,7,14.583333333333334,7.248249326603709,27.167176524746285,58.333333333333336,0,5,0,92.22222222222223
ultravox-v0.7,46,46,42,91.30434782608695,0,0.0,0.0,7.7073563085580385,0.0,0,4,0,71.73913043478261
gemini-3.5-flash-lite,45,45,45,100.0,0,0.0,0.0,7.865159873288836,0.0,0,0,0,94.22222222222223
gemini-2.5-flash,40,40,40,100.0,0,0.0,0.0,8.762160119728664,0.0,0,0,0,90.16666666666666
gpt-5.4,38,38,8,21.05263157894737,28,73.6842105263158,57.99115381253364,85.02837874520186,93.33333333333333,0,2,0,91.49122807017544
gemini-3.1-flash-live-preview,37,37,32,86.48648648648648,5,13.513513513513514,5.913294425732019,27.977411784009792,100.0,0,0,0,91.08108108108108
gpt-5.6-terra,33,33,10,30.303030303030305,19,57.57575757575758,40.80726333731245,72.76440336658979,82.6086956521739,0,4,0,93.93939393939394
grok-realtime,33,33,5,15.151515151515152,20,60.60606060606061,43.68344081994023,75.3168925655229,71.42857142857143,6,2,0,66.36363636363636
zai-org/GLM-5.2,30,30,30,100.0,0,0.0,0.0,11.351339317396876,0.0,0,0,0,99.66666666666667
gpt-5.5,29,29,24,82.75862068965517,5,17.24137931034483,7.597857252891227,34.54843989019524,100.0,0,0,0,97.35632183908046
supernova,29,29,27,93.10344827586206,2,6.896551724137931,1.9121266169433353,21.964580150275694,100.0,0,0,0,96.55172413793103
amazon.nova-2-sonic-v1:0,27,27,22,81.48148148148148,3,11.11111111111111,3.8520348283098373,28.057800818279823,60.0,0,2,0,67.90123456790123
Qwen/Qwen3.6-35B-A3B-FP8,25,25,24,96.0,0,0.0,1.3877787807814457e-15,13.319225093904846,0.0,0,1,0,93.46666666666665
qwen/qwen3-8b,25,25,25,100.0,0,0.0,1.3877787807814457e-15,13.319225093904846,0.0,0,0,0,86.13333333333334
gemini-3.6-flash,23,23,23,100.0,0,0.0,0.0,14.311661845042686,0.0,0,0,0,99.85507246376811
gpt-4.1,23,23,23,100.0,0,0.0,0.0,14.311661845042686,0.0,0,0,0,96.81159420289855
gemini-3.1-flash-lite-preview,22,22,21,95.45454545454545,1,4.545454545454546,0.8069427621263849,21.79804583865733,100.0,0,0,0,96.51515151515152
poolside/laguna-s-2.1,22,22,22,100.0,0,0.0,0.0,14.865487460862086,0.0,0,0,0,90.75757575757576
qwen3.5-9b,22,22,22,100.0,0,0.0,0.0,14.865487460862086,0.0,0,0,0,91.96969696969697
gemini-2.5-flash-native-audio-preview-12-2025,20,20,7,35.0,11,55.0,34.20853424503424,74.18021417443758,84.61538461538461,2,0,0,80.5
qwen3.5-27b,20,20,20,100.0,0,0.0,0.0,16.112515805281937,0.0,0,0,0,96.66666666666666
thinkingmachines/inkling-small,20,20,20,100.0,0,0.0,0.0,16.112515805281937,0.0,0,0,0,94.33333333333334
zai-org/glm-5.1,20,20,20,100.0,0,0.0,0.0,16.112515805281937,0.0,0,0,0,95.66666666666667
glm-5-fp8,19,19,19,100.0,0,0.0,0.0,16.817922405261626,0.0,0,0,0,99.2982456140351
claude-haiku-4-5,17,17,17,100.0,0,0.0,0.0,18.43181350088518,0.0,0,0,0,99.80392156862746
glm-4.7-flash,16,16,16,100.0,0,0.0,0.0,19.36076805344365,0.0,0,0,0,90.0
gpt-5.4-mini,15,15,10,66.66666666666667,5,33.333333333333336,15.176324439714731,58.28645226148023,100.0,0,0,0,87.77777777777779
gpt-5.6-luna,15,15,14,93.33333333333333,1,6.666666666666667,1.1866895493268554,29.816529873780027,100.0,0,0,0,92.44444444444444
openai/gpt-oss-120b,15,15,12,80.0,3,20.0,7.0475493469815635,45.185448715169365,100.0,0,0,0,85.77777777777779
gemini-3-flash-preview,12,12,12,100.0,0,0.0,2.7755575615628914e-15,24.249400665524085,0.0,0,0,0,100.0
qwen3.5-4b,12,12,7,58.333333333333336,4,33.333333333333336,13.812009109121314,60.93779111272004,80.0,1,0,0,93.8888888888889
claude-sonnet-4-5,10,10,10,100.0,0,0.0,0.0,27.75327998628892,0.0,0,0,0,99.66666666666666
gpt-4o,10,10,10,100.0,0,0.0,0.0,27.75327998628892,0.0,0,0,0,94.66666666666666
gpt-4o-mini,10,10,7,70.0,2,20.0,5.668215145437519,50.983752846335825,66.66666666666667,0,0,1,82.66666666666666
nvidia/nemotron-3-nano-30b-a3b:free,10,10,10,100.0,0,0.0,0.0,27.75327998628892,0.0,0,0,0,0.0
qwen/qwen3-14b,10,10,10,100.0,0,0.0,0.0,27.75327998628892,0.0,0,0,0,90.66666666666666
qwen/qwen3-32b,10,10,10,100.0,0,0.0,0.0,27.75327998628892,0.0,0,0,0,90.66666666666666
us.amazon.nova-2-pro-preview-20251202-v1:0,10,10,10,100.0,0,0.0,0.0,27.75327998628892,0.0,0,0,0,0.0
deepseek/deepseek-chat-v3.1,9,9,8,88.88888888888889,1,11.11111111111111,1.9890887638544907,43.4999705576656,100.0,0,0,0,95.18518518518518
nvidia/Nemotron-120B-A12B,9,9,7,77.77777777777777,2,22.22222222222222,6.322510711784671,54.74110308930111,100.0,0,0,0,86.66666666666667
nemotron_3_nano_omni,8,8,8,100.0,0,0.0,0.0,32.440756488388026,0.0,0,0,0,81.25
gpt-4.1-mini,6,6,1,16.666666666666668,5,83.33333333333333,43.64971778135299,96.99466302516934,100.0,0,0,0,87.22222222222223
grok-voice-think-fast-1.0,6,6,0,0.0,0,0.0,2.7755575615628914e-15,39.033428790216526,0.0,0,0,6,95.0
clever-chatter,5,5,5,100.0,0,0.0,0.0,43.44824647831748,0.0,0,0,0,51.333333333333336
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B,4,4,4,100.0,0,0.0,0.0,48.98908364545973,0.0,0,0,0,98.33333333333334
claude-sonnet-5,3,3,3,100.0,0,0.0,5.551115123125783e-15,56.14970317550454,0.0,0,0,0,91.1111111111111
qwen3.5-122b,3,3,1,33.333333333333336,2,66.66666666666667,20.76596008020477,93.85080552796038,100.0,0,0,0,85.55555555555556
claude-fable-5,1,1,1,100.0,0,0.0,0.0,79.34506856227625,0.0,0,0,0,100.0
gpt-5-mini,1,1,0,0.0,1,100.0,20.654931437723747,100.0,100.0,0,0,0,86.66666666666667
gpt-5.2,1,1,1,100.0,0,0.0,0.0,79.34506856227625,0.0,0,0,0,90.0
gpt-realtime,1,1,0,0.0,1,100.0,20.654931437723747,100.0,100.0,0,0,0,66.66666666666667
gpt-realtime-1.5,1,1,1,100.0,0,0.0,0.0,79.34506856227625,0.0,0,0,0,90.0
gpt-realtime-alpha-dolphin-14,1,1,1,100.0,0,0.0,0.0,79.34506856227625,0.0,0,0,0,93.33333333333333
qwen-3-32b,1,1,1,100.0,0,0.0,0.0,79.34506856227625,0.0,0,0,0,0.0
walkie-talkie,1,1,1,100.0,0,0.0,0.0,79.34506856227625,0.0,0,0,0,30.0
