attempt	cohort_index	run_dir	run_rc	records	scripted_turns	status	started_utc	finished_utc
1	1	runs/aiwf_medium_context/20260810T154709_muse-glimmer-30b_8043af23	0	34	30	included	2026-08-10T22:47:08Z	2026-08-10T22:48:16Z
2	2	runs/aiwf_medium_context/20260810T154818_muse-glimmer-30b_e9af56e5	0	34	30	included	2026-08-10T22:48:16Z	2026-08-10T22:49:32Z
3	3	runs/aiwf_medium_context/20260810T154934_muse-glimmer-30b_033cd39e	0	34	30	included	2026-08-10T22:49:32Z	2026-08-10T22:50:31Z
4	4	runs/aiwf_medium_context/20260810T155032_muse-glimmer-30b_87edb859	0	33	30	included	2026-08-10T22:50:31Z	2026-08-10T22:51:36Z
5	5	runs/aiwf_medium_context/20260810T155137_muse-glimmer-30b_ff710bc8	0	36	30	included	2026-08-10T22:51:36Z	2026-08-10T22:52:29Z
6	6	runs/aiwf_medium_context/20260810T155231_muse-glimmer-30b_d422bcb6	0	33	30	included	2026-08-10T22:52:29Z	2026-08-10T22:53:28Z
7	7	runs/aiwf_medium_context/20260810T155330_muse-glimmer-30b_00c4229e	0	33	30	included	2026-08-10T22:53:28Z	2026-08-10T22:54:22Z
8	8	runs/aiwf_medium_context/20260810T155424_muse-glimmer-30b_fe4949c6	0	34	30	included	2026-08-10T22:54:22Z	2026-08-10T22:55:12Z
9	9	runs/aiwf_medium_context/20260810T155513_muse-glimmer-30b_4d6a4a2f	0	34	30	included	2026-08-10T22:55:12Z	2026-08-10T22:56:09Z
10	10	runs/aiwf_medium_context/20260810T155611_muse-glimmer-30b_25200af8	0	36	30	included	2026-08-10T22:56:09Z	2026-08-10T22:57:01Z
11	11	runs/aiwf_medium_context/20260810T155703_muse-glimmer-30b_207ed951	0	33	30	included	2026-08-10T22:57:01Z	2026-08-10T22:58:01Z
12	12	runs/aiwf_medium_context/20260810T155803_muse-glimmer-30b_34b544ad	0	34	30	included	2026-08-10T22:58:01Z	2026-08-10T22:59:01Z
13	13	runs/aiwf_medium_context/20260810T155903_muse-glimmer-30b_dd7c7c0d	0	36	30	included	2026-08-10T22:59:01Z	2026-08-10T23:00:04Z
14	14	runs/aiwf_medium_context/20260810T160006_muse-glimmer-30b_42d677ee	0	34	30	included	2026-08-10T23:00:04Z	2026-08-10T23:01:09Z
15	15	runs/aiwf_medium_context/20260810T160110_muse-glimmer-30b_7e30f9b5	0	35	30	included	2026-08-10T23:01:09Z	2026-08-10T23:01:50Z
16	16	runs/aiwf_medium_context/20260810T160152_muse-glimmer-30b_6c826310	0	34	30	included	2026-08-10T23:01:50Z	2026-08-10T23:03:02Z
17	17	runs/aiwf_medium_context/20260810T160304_muse-glimmer-30b_66003138	0	34	30	included	2026-08-10T23:03:02Z	2026-08-10T23:04:02Z
18	18	runs/aiwf_medium_context/20260810T160404_muse-glimmer-30b_ffef57c9	0	35	30	included	2026-08-10T23:04:02Z	2026-08-10T23:05:00Z
19	19	runs/aiwf_medium_context/20260810T160501_muse-glimmer-30b_83f56db8	0	34	30	included	2026-08-10T23:05:00Z	2026-08-10T23:05:56Z
20	20	runs/aiwf_medium_context/20260810T160557_muse-glimmer-30b_4f6c9870	0	34	30	included	2026-08-10T23:05:56Z	2026-08-10T23:06:49Z
21	21	runs/aiwf_medium_context/20260810T160650_muse-glimmer-30b_8eff6724	0	35	30	included	2026-08-10T23:06:49Z	2026-08-10T23:07:38Z
22	22	runs/aiwf_medium_context/20260810T160739_muse-glimmer-30b_b0650a5c	0	34	30	included	2026-08-10T23:07:38Z	2026-08-10T23:08:28Z
23	23	runs/aiwf_medium_context/20260810T160830_muse-glimmer-30b_288781bf	0	35	30	included	2026-08-10T23:08:28Z	2026-08-10T23:09:27Z
24	24	runs/aiwf_medium_context/20260810T160929_muse-glimmer-30b_3e907d67	0	32	30	included	2026-08-10T23:09:27Z	2026-08-10T23:10:20Z
25	25	runs/aiwf_medium_context/20260810T161022_muse-glimmer-30b_9c676652	0	35	30	included	2026-08-10T23:10:20Z	2026-08-10T23:11:21Z
26	26	runs/aiwf_medium_context/20260810T161122_muse-glimmer-30b_11583df6	0	35	30	included	2026-08-10T23:11:21Z	2026-08-10T23:12:11Z
27	27	runs/aiwf_medium_context/20260810T161212_muse-glimmer-30b_8d210d5c	0	34	30	included	2026-08-10T23:12:11Z	2026-08-10T23:13:04Z
28	28	runs/aiwf_medium_context/20260810T161306_muse-glimmer-30b_4c1eb23e	0	34	30	included	2026-08-10T23:13:04Z	2026-08-10T23:14:00Z
29	29	runs/aiwf_medium_context/20260810T161401_muse-glimmer-30b_a6a5ae7c	0	33	30	included	2026-08-10T23:14:00Z	2026-08-10T23:15:07Z
30	30	runs/aiwf_medium_context/20260810T161509_muse-glimmer-30b_326bff8c	0	35	30	included	2026-08-10T23:15:07Z	2026-08-10T23:16:04Z
