cohort_index	run_dir	judge_rc	strict_pass	turns_scored	started_utc	finished_utc
1	runs/aiwf_medium_context/20260810T154709_muse-glimmer-30b_8043af23	0	26	30	2026-08-10T23:18:06Z	2026-08-10T23:19:58Z
2	runs/aiwf_medium_context/20260810T154818_muse-glimmer-30b_e9af56e5	0	26	30	2026-08-10T23:19:58Z	2026-08-10T23:21:24Z
3	runs/aiwf_medium_context/20260810T154934_muse-glimmer-30b_033cd39e	0	26	30	2026-08-10T23:21:24Z	2026-08-10T23:22:57Z
4	runs/aiwf_medium_context/20260810T155032_muse-glimmer-30b_87edb859	0	27	30	2026-08-10T23:22:57Z	2026-08-10T23:24:38Z
5	runs/aiwf_medium_context/20260810T155137_muse-glimmer-30b_ff710bc8	0	24	30	2026-08-10T23:24:38Z	2026-08-10T23:26:15Z
6	runs/aiwf_medium_context/20260810T155231_muse-glimmer-30b_d422bcb6	0	26	30	2026-08-10T23:26:15Z	2026-08-10T23:27:45Z
7	runs/aiwf_medium_context/20260810T155330_muse-glimmer-30b_00c4229e	0	25	30	2026-08-10T23:27:45Z	2026-08-10T23:29:18Z
8	runs/aiwf_medium_context/20260810T155424_muse-glimmer-30b_fe4949c6	0	26	30	2026-08-10T23:29:18Z	2026-08-10T23:31:06Z
9	runs/aiwf_medium_context/20260810T155513_muse-glimmer-30b_4d6a4a2f	0	24	30	2026-08-10T23:31:06Z	2026-08-10T23:32:42Z
10	runs/aiwf_medium_context/20260810T155611_muse-glimmer-30b_25200af8	0	23	30	2026-08-10T23:32:42Z	2026-08-10T23:34:04Z
11	runs/aiwf_medium_context/20260810T155703_muse-glimmer-30b_207ed951	0	27	30	2026-08-10T23:34:04Z	2026-08-10T23:35:58Z
12	runs/aiwf_medium_context/20260810T155803_muse-glimmer-30b_34b544ad	0	26	30	2026-08-10T23:35:58Z	2026-08-10T23:37:41Z
13	runs/aiwf_medium_context/20260810T155903_muse-glimmer-30b_dd7c7c0d	0	24	30	2026-08-10T23:37:41Z	2026-08-10T23:39:35Z
14	runs/aiwf_medium_context/20260810T160006_muse-glimmer-30b_42d677ee	0	26	30	2026-08-10T23:39:35Z	2026-08-10T23:40:53Z
15	runs/aiwf_medium_context/20260810T160110_muse-glimmer-30b_7e30f9b5	0	24	30	2026-08-10T23:40:53Z	2026-08-10T23:42:19Z
16	runs/aiwf_medium_context/20260810T160152_muse-glimmer-30b_6c826310	0	25	30	2026-08-10T23:42:19Z	2026-08-10T23:43:42Z
17	runs/aiwf_medium_context/20260810T160304_muse-glimmer-30b_66003138	0	26	30	2026-08-10T23:43:42Z	2026-08-10T23:45:00Z
18	runs/aiwf_medium_context/20260810T160404_muse-glimmer-30b_ffef57c9	0	24	30	2026-08-10T23:45:00Z	2026-08-10T23:46:52Z
19	runs/aiwf_medium_context/20260810T160501_muse-glimmer-30b_83f56db8	0	26	30	2026-08-10T23:46:52Z	2026-08-10T23:48:08Z
20	runs/aiwf_medium_context/20260810T160557_muse-glimmer-30b_4f6c9870	0	26	30	2026-08-10T23:48:08Z	2026-08-10T23:49:31Z
21	runs/aiwf_medium_context/20260810T160650_muse-glimmer-30b_8eff6724	0	25	30	2026-08-10T23:49:31Z	2026-08-10T23:50:39Z
22	runs/aiwf_medium_context/20260810T160739_muse-glimmer-30b_b0650a5c	0	26	30	2026-08-10T23:50:39Z	2026-08-10T23:52:14Z
23	runs/aiwf_medium_context/20260810T160830_muse-glimmer-30b_288781bf	0	25	30	2026-08-10T23:52:14Z	2026-08-10T23:53:28Z
24	runs/aiwf_medium_context/20260810T160929_muse-glimmer-30b_3e907d67	0	28	30	2026-08-10T23:53:28Z	2026-08-10T23:54:37Z
25	runs/aiwf_medium_context/20260810T161022_muse-glimmer-30b_9c676652	0	24	30	2026-08-10T23:54:37Z	2026-08-10T23:55:58Z
26	runs/aiwf_medium_context/20260810T161122_muse-glimmer-30b_11583df6	0	25	30	2026-08-10T23:55:58Z	2026-08-10T23:58:00Z
27	runs/aiwf_medium_context/20260810T161212_muse-glimmer-30b_8d210d5c	0	26	30	2026-08-11T00:06:54Z	2026-08-11T00:08:36Z
28	runs/aiwf_medium_context/20260810T161306_muse-glimmer-30b_4c1eb23e	0	26	30	2026-08-10T23:59:06Z	2026-08-11T00:00:17Z
29	runs/aiwf_medium_context/20260810T161401_muse-glimmer-30b_a6a5ae7c	0	27	30	2026-08-11T00:00:17Z	2026-08-11T00:02:05Z
30	runs/aiwf_medium_context/20260810T161509_muse-glimmer-30b_326bff8c	0	25	30	2026-08-11T00:02:05Z	2026-08-11T00:05:35Z
