ordinal	block	position	arm	arm_index	attempt	run_dir	run_rc	records	scripted_turns	request_verified	status	started_utc	finished_utc
1	1	1	low	1	1	runs/aiwf_medium_context/20260811T060735_muse-glimmer-30b_1a093d4a	130	28	25	1	incomplete	2026-08-11T13:07:33Z	2026-08-11T13:10:32Z
1	1	1	low	1	2	runs/aiwf_medium_context/20260811T061033_muse-glimmer-30b_ee91c2b5	130	0	0	1	incomplete	2026-08-11T13:10:32Z	2026-08-11T13:10:45Z
1	1	1	low	1	3	runs/aiwf_medium_context/20260811T061046_muse-glimmer-30b_4b9ed55b	130	0	0	1	incomplete	2026-08-11T13:10:45Z	2026-08-11T13:10:51Z
1	1	1	low	1	1	runs/aiwf_medium_context/20260811T061226_muse-glimmer-30b_9b6cd491	0	34	30	1	included	2026-08-11T13:12:25Z	2026-08-11T13:13:07Z
2	1	2	medium	1	1	runs/aiwf_medium_context/20260811T061308_muse-glimmer-30b_1ec34b13	0	35	30	1	included	2026-08-11T13:13:07Z	2026-08-11T13:14:01Z
3	1	3	xhigh	1	1	runs/aiwf_medium_context/20260811T061403_muse-glimmer-30b_81d91207	0	35	30	1	included	2026-08-11T13:14:01Z	2026-08-11T13:14:52Z
4	1	4	high	1	1	runs/aiwf_medium_context/20260811T061454_muse-glimmer-30b_c663de46	0	33	30	1	included	2026-08-11T13:14:52Z	2026-08-11T13:16:02Z
5	2	1	medium	2	1	runs/aiwf_medium_context/20260811T061603_muse-glimmer-30b_9ced2c18	0	35	30	1	included	2026-08-11T13:16:02Z	2026-08-11T13:16:56Z
6	2	2	high	2	1	runs/aiwf_medium_context/20260811T061658_muse-glimmer-30b_75d2d4ef	0	35	30	1	included	2026-08-11T13:16:56Z	2026-08-11T13:18:07Z
7	2	3	low	2	1	runs/aiwf_medium_context/20260811T061809_muse-glimmer-30b_b31916e5	0	33	30	1	included	2026-08-11T13:18:07Z	2026-08-11T13:18:49Z
8	2	4	xhigh	2	1	runs/aiwf_medium_context/20260811T061850_muse-glimmer-30b_4d8d5776	0	35	30	1	included	2026-08-11T13:18:49Z	2026-08-11T13:19:46Z
9	3	1	high	3	1	runs/aiwf_medium_context/20260811T061948_muse-glimmer-30b_f37570c8	0	35	30	1	included	2026-08-11T13:19:46Z	2026-08-11T13:21:03Z
10	3	2	xhigh	3	1	runs/aiwf_medium_context/20260811T062105_muse-glimmer-30b_122554a0	0	34	30	1	included	2026-08-11T13:21:03Z	2026-08-11T13:22:11Z
11	3	3	medium	3	1	runs/aiwf_medium_context/20260811T062212_muse-glimmer-30b_0470f4b8	0	34	30	1	included	2026-08-11T13:22:11Z	2026-08-11T13:23:05Z
12	3	4	low	3	1	runs/aiwf_medium_context/20260811T062306_muse-glimmer-30b_999317ae	0	32	30	1	included	2026-08-11T13:23:05Z	2026-08-11T13:23:49Z
13	4	1	xhigh	4	1	runs/aiwf_medium_context/20260811T062351_muse-glimmer-30b_6b1cca03	0	33	30	1	included	2026-08-11T13:23:49Z	2026-08-11T13:24:39Z
14	4	2	low	4	1	runs/aiwf_medium_context/20260811T062441_muse-glimmer-30b_fd09afe2	0	34	30	1	included	2026-08-11T13:24:39Z	2026-08-11T13:25:26Z
15	4	3	high	4	1	runs/aiwf_medium_context/20260811T062528_muse-glimmer-30b_eb8ee32c	0	35	30	1	included	2026-08-11T13:25:26Z	2026-08-11T13:26:27Z
16	4	4	medium	4	1	runs/aiwf_medium_context/20260811T062629_muse-glimmer-30b_8d4794e7	0	34	30	1	included	2026-08-11T13:26:27Z	2026-08-11T13:27:17Z
17	5	1	low	5	1	runs/aiwf_medium_context/20260811T062719_muse-glimmer-30b_aaee47cd	0	34	30	1	included	2026-08-11T13:27:17Z	2026-08-11T13:28:00Z
