ordinal	arm	arm_index	run_dir	judge_rc	strict_pass	turns_scored	started_utc	finished_utc
1	low	1	runs/aiwf_medium_context/20260811T061226_muse-glimmer-30b_9b6cd491	0	26	30	2026-08-11T15:10:23Z	2026-08-11T15:10:23Z
2	medium	1	runs/aiwf_medium_context/20260811T061308_muse-glimmer-30b_1ec34b13	0	25	30	2026-08-11T15:10:23Z	2026-08-11T15:12:01Z
3	xhigh	1	runs/aiwf_medium_context/20260811T061403_muse-glimmer-30b_81d91207	0	25	30	2026-08-11T15:10:23Z	2026-08-11T15:12:12Z
4	high	1	runs/aiwf_medium_context/20260811T061454_muse-glimmer-30b_c663de46	0	27	30	2026-08-11T15:10:23Z	2026-08-11T15:12:04Z
5	medium	2	runs/aiwf_medium_context/20260811T061603_muse-glimmer-30b_9ced2c18	0	25	30	2026-08-11T15:10:23Z	2026-08-11T15:11:45Z
6	high	2	runs/aiwf_medium_context/20260811T061658_muse-glimmer-30b_75d2d4ef	0	25	30	2026-08-11T15:11:45Z	2026-08-11T15:13:09Z
7	low	2	runs/aiwf_medium_context/20260811T061809_muse-glimmer-30b_b31916e5	0	27	30	2026-08-11T15:12:01Z	2026-08-11T15:13:15Z
8	xhigh	2	runs/aiwf_medium_context/20260811T061850_muse-glimmer-30b_4d8d5776	0	25	30	2026-08-11T15:12:04Z	2026-08-11T15:13:41Z
9	high	3	runs/aiwf_medium_context/20260811T061948_muse-glimmer-30b_f37570c8	0	25	30	2026-08-11T15:12:12Z	2026-08-11T15:13:32Z
10	xhigh	3	runs/aiwf_medium_context/20260811T062105_muse-glimmer-30b_122554a0	0	26	30	2026-08-11T15:13:09Z	2026-08-11T15:15:35Z
11	medium	3	runs/aiwf_medium_context/20260811T062212_muse-glimmer-30b_0470f4b8	0	26	30	2026-08-11T15:13:15Z	2026-08-11T15:14:53Z
12	low	3	runs/aiwf_medium_context/20260811T062306_muse-glimmer-30b_999317ae	0	28	30	2026-08-11T15:13:32Z	2026-08-11T15:15:13Z
13	xhigh	4	runs/aiwf_medium_context/20260811T062351_muse-glimmer-30b_6b1cca03	0	27	30	2026-08-11T15:13:41Z	2026-08-11T15:15:29Z
14	low	4	runs/aiwf_medium_context/20260811T062441_muse-glimmer-30b_fd09afe2	0	26	30	2026-08-11T15:14:53Z	2026-08-11T15:16:23Z
15	high	4	runs/aiwf_medium_context/20260811T062528_muse-glimmer-30b_eb8ee32c	0	24	30	2026-08-11T15:15:13Z	2026-08-11T15:16:42Z
16	medium	4	runs/aiwf_medium_context/20260811T062629_muse-glimmer-30b_8d4794e7	0	26	30	2026-08-11T15:15:29Z	2026-08-11T15:16:52Z
17	low	5	runs/aiwf_medium_context/20260811T062719_muse-glimmer-30b_aaee47cd	0	26	30	2026-08-11T15:15:35Z	2026-08-11T15:16:56Z
18	medium	5	runs/aiwf_medium_context/20260811T062801_muse-glimmer-30b_42658b48	0	24	30	2026-08-11T15:16:23Z	2026-08-11T15:17:50Z
19	xhigh	5	runs/aiwf_medium_context/20260811T062856_muse-glimmer-30b_06e3ea15	0	26	30	2026-08-11T15:16:42Z	2026-08-11T15:18:07Z
20	high	5	runs/aiwf_medium_context/20260811T063003_muse-glimmer-30b_210d3a8f	0	24	30	2026-08-11T15:16:52Z	2026-08-11T15:18:13Z
21	medium	6	runs/aiwf_medium_context/20260811T063106_muse-glimmer-30b_f5fb33dd	0	26	30	2026-08-11T15:16:56Z	2026-08-11T15:18:19Z
22	high	6	runs/aiwf_medium_context/20260811T063156_muse-glimmer-30b_08fd0f3e	0	26	30	2026-08-11T15:17:50Z	2026-08-11T15:19:18Z
23	low	6	runs/aiwf_medium_context/20260811T063305_muse-glimmer-30b_b54aaedb	0	26	30	2026-08-11T15:18:07Z	2026-08-11T15:19:23Z
24	xhigh	6	runs/aiwf_medium_context/20260811T063349_muse-glimmer-30b_e40419a7	0	27	30	2026-08-11T15:18:13Z	2026-08-11T15:19:29Z
25	high	7	runs/aiwf_medium_context/20260811T063440_muse-glimmer-30b_366cf9b9	0	25	30	2026-08-11T15:18:19Z	2026-08-11T15:19:28Z
26	xhigh	7	runs/aiwf_medium_context/20260811T063550_muse-glimmer-30b_2034f49e	0	26	30	2026-08-11T15:19:18Z	2026-08-11T15:20:53Z
27	medium	7	runs/aiwf_medium_context/20260811T063637_muse-glimmer-30b_c9ecf53a	0	26	30	2026-08-11T15:19:23Z	2026-08-11T15:20:40Z
28	low	7	runs/aiwf_medium_context/20260811T063736_muse-glimmer-30b_ce49a16d	0	25	30	2026-08-11T15:19:28Z	2026-08-11T15:20:57Z
29	xhigh	8	runs/aiwf_medium_context/20260811T063822_muse-glimmer-30b_241d77ed	0	26	30	2026-08-11T15:19:29Z	2026-08-11T15:21:16Z
30	low	8	runs/aiwf_medium_context/20260811T063916_muse-glimmer-30b_ca50cc04	0	27	30	2026-08-11T15:20:40Z	2026-08-11T15:21:58Z
31	high	8	runs/aiwf_medium_context/20260811T063959_muse-glimmer-30b_f63a7f11	0	25	30	2026-08-11T15:20:53Z	2026-08-11T15:22:08Z
32	medium	8	runs/aiwf_medium_context/20260811T064120_muse-glimmer-30b_d857f734	0	27	30	2026-08-11T15:20:57Z	2026-08-11T15:22:25Z
33	low	9	runs/aiwf_medium_context/20260811T064212_muse-glimmer-30b_0ce3b9fe	0	26	30	2026-08-11T15:21:16Z	2026-08-11T15:22:37Z
34	medium	9	runs/aiwf_medium_context/20260811T064300_muse-glimmer-30b_d6bfae79	0	25	30	2026-08-11T15:21:58Z	2026-08-11T15:23:47Z
35	xhigh	9	runs/aiwf_medium_context/20260811T064357_muse-glimmer-30b_82ed2995	0	27	30	2026-08-11T15:22:08Z	2026-08-11T15:23:33Z
36	high	9	runs/aiwf_medium_context/20260811T064454_muse-glimmer-30b_7f999bad	0	26	30	2026-08-11T15:22:25Z	2026-08-11T15:23:56Z
37	medium	10	runs/aiwf_medium_context/20260811T064555_muse-glimmer-30b_ad733d9e	0	25	30	2026-08-11T15:22:37Z	2026-08-11T15:23:51Z
38	high	10	runs/aiwf_medium_context/20260811T064648_muse-glimmer-30b_f3ef9be3	0	26	30	2026-08-11T15:23:33Z	2026-08-11T15:24:39Z
39	low	10	runs/aiwf_medium_context/20260811T064744_muse-glimmer-30b_bdcc6cb6	0	28	30	2026-08-11T15:23:47Z	2026-08-11T15:25:19Z
40	xhigh	10	runs/aiwf_medium_context/20260811T064828_muse-glimmer-30b_0af96e72	0	26	30	2026-08-11T15:23:51Z	2026-08-11T15:25:13Z
41	high	11	runs/aiwf_medium_context/20260811T064933_muse-glimmer-30b_cae71d22	0	26	30	2026-08-11T15:23:56Z	2026-08-11T15:25:14Z
